time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0004,666.1224,-97.5367,0.0000,0.0000
0.0725,666.1569,-97.5356,0.0000,0.0000
0.0821,666.1573,-97.5512,0.0000,0.0000
0.1012,666.2788,-97.5910,0.0000,0.0000
0.1058,667.1917,-97.6958,0.0000,0.0000
0.1219,668.9120,-97.6809,0.0000,0.0000
0.1250,671.0422,-97.7868,0.0000,0.0000
0.1317,673.6572,-98.1283,0.0000,0.0000
0.1415,676.9480,-98.4581,0.0000,0.0000
0.1514,680.5348,-98.7647,0.0000,0.0000
0.1616,683.5798,-99.0717,0.0000,0.0000
0.1719,686.2952,-99.2898,0.0000,0.0000
0.1815,689.0510,-99.5115,0.0000,0.0000
0.1917,691.5834,-99.6321,0.0000,0.0000
0.2026,693.5711,-99.8103,0.0000,0.0000
0.2119,695.0014,-99.9477,0.0000,0.0000
0.2467,696.3398,-100.1966,0.0000,0.0000
0.2489,696.4790,-100.2321,0.0000,0.0000
0.2513,696.5669,-100.1537,0.0000,0.0000
0.2716,696.7716,-100.1199,0.0000,0.0000
0.2738,696.7267,-100.0977,0.0000,0.0000
0.2816,696.4339,-100.1203,0.0000,0.0000
0.2918,696.2081,-100.1074,0.0000,0.0000
0.3018,696.1469,-100.1009,0.0000,0.0000
0.3177,696.1994,-100.0723,0.0000,0.0000
0.3214,696.5955,-100.0198,0.0000,0.0000
0.3316,697.5378,-100.1464,0.0000,0.0000
0.3416,699.1291,-100.3844,0.0000,0.0000
0.3771,703.6841,-101.0388,0.0000,0.0000
0.3795,706.0923,-101.0747,0.0000,0.0000
0.3816,708.0759,-101.1661,0.0000,0.0000
0.3915,709.9366,-101.4166,0.0000,0.0000
0.4082,711.6368,-101.4564,0.0000,0.0000
0.4114,713.0527,-101.7149,0.0000,0.0000
0.4214,714.0481,-101.8857,0.0000,0.0000
0.4319,714.6313,-101.7409,0.0000,0.0000
0.4417,714.9691,-101.7003,0.0000,0.0000
0.4521,715.2658,-101.8516,0.0000,0.0000
0.4615,715.8878,-101.9379,0.0000,0.0000
0.4719,717.0370,-101.8793,0.0000,0.0000
0.4815,718.7523,-102.0127,0.0000,0.0000
0.4920,721.0352,-102.3409,0.0000,0.0000
0.5014,723.6407,-102.7242,0.0000,0.0000
0.5117,726.0713,-102.9627,0.0000,0.0000
0.5439,729.8242,-102.9187,0.0000,0.0000
0.5461,731.1975,-103.1473,0.0000,0.0000
0.5514,731.9836,-103.4593,0.0000,0.0000
0.5866,732.4345,-103.7584,0.0000,0.0000
0.5887,732.4153,-103.5436,0.0000,0.0000
0.5918,732.4319,-103.3224,0.0000,0.0000
0.6193,732.6265,-103.3702,0.0000,0.0000
0.6216,732.8018,-103.5311,0.0000,0.0000
0.6237,733.0214,-103.5578,0.0000,0.0000
0.6323,733.6537,-103.5757,0.0000,0.0000
0.6414,734.5147,-103.6644,0.0000,0.0000
0.6521,735.2397,-103.7156,0.0000,0.0000
0.6619,735.7086,-103.7283,0.0000,0.0000
0.6917,736.7338,-103.7925,0.0000,0.0000
0.6938,737.4408,-103.8890,0.0000,0.0000
0.7021,738.0526,-103.9784,0.0000,0.0000
0.7122,738.5001,-104.0114,0.0000,0.0000
0.7219,738.8208,-104.0079,0.0000,0.0000
0.7317,739.1609,-104.0082,0.0000,0.0000
0.7422,739.5219,-104.0225,0.0000,0.0000
0.7520,740.0892,-104.1165,0.0000,0.0000
0.7622,741.4763,-104.2342,0.0000,0.0000
0.7721,743.4425,-104.4420,0.0000,0.0000
0.7824,745.7351,-104.6544,0.0000,0.0000
0.7919,748.3849,-104.7007,0.0000,0.0000
0.8177,750.7969,-104.8452,0.0000,0.0000
0.8201,752.6482,-105.0631,0.0000,0.0000
0.8220,754.2762,-105.0975,0.0000,0.0000
0.8322,755.6569,-105.1056,0.0000,0.0000
0.8420,756.4109,-105.3368,0.0000,0.0000
0.8523,756.6834,-105.3825,0.0000,0.0000
0.8624,756.7316,-105.2992,0.0000,0.0000
0.8717,756.7681,-105.2612,0.0000,0.0000
0.8820,756.9467,-105.1988,0.0000,0.0000
0.8919,757.4811,-105.0007,0.0000,0.0000
0.9015,758.7653,-105.1029,0.0000,0.0000
0.9117,760.7884,-105.5166,0.0000,0.0000
0.9214,763.2947,-105.7355,0.0000,0.0000
0.9522,769.0871,-106.0014,0.0000,0.0000
0.9546,771.2849,-106.1663,0.0000,0.0000
0.9616,773.2159,-106.2136,0.0000,0.0000
0.9976,776.0661,-106.5588,0.0000,0.0000
0.9998,776.6735,-106.5903,0.0000,0.0000
1.0019,776.9860,-106.6655,0.0000,0.0000
1.0119,777.0849,-106.5835,0.0000,0.0000
1.0227,777.0457,-106.5136,0.0000,0.0000
1.0567,776.9967,-106.5302,0.0000,0.0000
1.0589,777.1784,-106.4267,0.0000,0.0000
1.0610,778.2723,-106.4159,0.0000,0.0000
1.0999,785.7225,-107.5939,0.0000,0.0000
1.1020,789.1579,-107.8360,0.0000,0.0000
1.1115,792.3960,-108.4736,0.0000,0.0000
1.1216,794.8564,-108.6420,0.0000,0.0000
1.1319,796.7365,-108.8030,0.0000,0.0000
1.1419,798.4317,-109.0770,0.0000,0.0000
1.1617,799.5174,-109.2631,0.0000,0.0000
1.1639,800.3289,-109.1986,0.0000,0.0000
1.1711,801.3997,-108.8428,0.0000,0.0000
1.1954,802.7365,-109.1340,0.0000,0.0000
1.1978,803.7393,-109.3299,0.0000,0.0000
1.2016,804.2578,-109.4044,0.0000,0.0000
1.2297,805.4617,-109.4722,0.0000,0.0000
1.2319,806.3601,-109.5401,0.0000,0.0000
1.2417,807.2498,-109.6452,0.0000,0.0000
1.2519,807.9796,-109.7388,0.0000,0.0000
1.2619,808.7171,-109.6701,0.0000,0.0000
1.2714,809.6000,-109.5945,0.0000,0.0000
1.2944,810.7864,-109.6468,0.0000,0.0000
1.2967,812.5279,-109.9003,0.0000,0.0000
1.3166,814.6012,-110.1635,0.0000,0.0000
1.3204,816.7165,-110.3845,0.0000,0.0000
1.3226,818.6303,-110.4610,0.0000,0.0000
1.3515,821.4341,-110.8435,0.0000,0.0000
1.3537,822.9499,-111.0143,0.0000,0.0000
1.3617,824.6735,-111.2857,0.0000,0.0000
1.3719,826.2975,-111.3775,0.0000,0.0000
1.3814,827.3566,-111.5336,0.0000,0.0000
1.4110,828.5647,-111.2740,0.0000,0.0000
1.4132,829.4048,-111.2882,0.0000,0.0000
1.4216,830.5639,-111.4892,0.0000,0.0000
1.4316,831.5934,-111.7664,0.0000,0.0000
1.4416,832.4582,-111.9968,0.0000,0.0000
1.4515,833.3367,-111.9245,0.0000,0.0000
1.4618,834.3328,-111.9010,0.0000,0.0000
1.4717,835.7499,-111.9437,0.0000,0.0000
1.4818,837.4853,-112.1388,0.0000,0.0000
1.4914,839.1664,-112.4463,0.0000,0.0000
1.5018,840.5529,-112.7148,0.0000,0.0000
1.5115,841.8823,-112.7875,0.0000,0.0000
1.5218,842.9846,-112.8124,0.0000,0.0000
1.5314,843.5867,-112.7937,0.0000,0.0000
1.5416,843.5950,-112.7277,0.0000,0.0000
1.5517,843.2575,-112.6341,0.0000,0.0000
1.5617,842.8135,-112.6199,0.0000,0.0000
1.5715,842.6245,-112.5939,0.0000,0.0000
1.5823,842.5124,-112.4890,0.0000,0.0000
1.5916,842.8439,-112.3761,0.0000,0.0000
1.6209,845.6794,-112.6056,0.0000,0.0000
1.6233,847.8145,-112.9236,0.0000,0.0000
1.6317,850.4315,-113.1811,0.0000,0.0000
1.6418,853.1582,-113.3275,0.0000,0.0000
1.6522,856.0947,-113.5564,0.0000,0.0000
1.6615,859.0417,-114.0592,0.0000,0.0000
1.6829,861.8939,-114.3504,0.0000,0.0000
1.6851,864.3945,-114.4903,0.0000,0.0000
1.6915,866.4830,-114.6562,0.0000,0.0000
1.7015,868.1134,-114.8258,0.0000,0.0000
1.7118,869.2759,-115.0840,0.0000,0.0000
1.7214,869.9619,-115.1732,0.0000,0.0000
1.7315,870.5061,-114.9986,0.0000,0.0000
1.7414,871.0623,-114.7000,0.0000,0.0000
1.7518,872.2354,-114.7940,0.0000,0.0000
1.7615,873.9408,-115.0023,0.0000,0.0000
1.7717,876.0602,-115.3769,0.0000,0.0000
1.7815,878.5661,-115.7599,0.0000,0.0000
1.8105,882.8243,-116.3922,0.0000,0.0000
1.8128,884.3656,-116.5153,0.0000,0.0000
1.8215,885.5918,-116.5698,0.0000,0.0000
1.8319,886.2107,-116.7053,0.0000,0.0000
1.8430,886.4547,-116.6249,0.0000,0.0000
1.8517,886.3181,-116.5353,0.0000,0.0000
1.8808,886.3119,-116.4778,0.0000,0.0000
1.8831,887.1435,-116.4863,0.0000,0.0000
1.8917,888.7403,-116.6980,0.0000,0.0000
1.9027,890.8408,-117.0124,0.0000,0.0000
1.9122,893.4706,-117.2367,0.0000,0.0000
1.9220,896.6748,-117.7458,0.0000,0.0000
1.9319,899.8213,-118.5152,0.0000,0.0000
1.9420,902.4165,-118.9657,0.0000,0.0000
1.9517,904.5210,-118.9703,0.0000,0.0000
1.9614,906.6417,-119.0740,0.0000,0.0000
1.9716,908.4056,-119.4847,0.0000,0.0000
1.9818,909.6090,-119.6054,0.0000,0.0000
1.9918,910.3257,-119.7873,0.0000,0.0000
2.0016,910.7388,-120.0109,0.0000,0.0000
2.0122,910.8528,-119.7289,0.0000,0.0000
2.0254,910.7776,-119.3584,0.0000,0.0000
2.0318,910.7385,-119.3759,0.0000,0.0000
2.0414,911.0199,-119.4685,0.0000,0.0000
2.0516,911.5922,-119.5028,0.0000,0.0000
2.0615,912.8378,-119.4468,0.0000,0.0000
2.0982,917.0508,-119.4075,0.0000,0.0000
2.1008,919.5922,-119.9920,0.0000,0.0000
2.1030,922.0854,-120.4036,0.0000,0.0000
2.1119,924.2988,-120.4684,0.0000,0.0000
2.1215,926.2523,-120.6895,0.0000,0.0000
2.1314,928.0691,-120.8556,0.0000,0.0000
2.1416,929.4931,-120.8668,0.0000,0.0000
2.1588,930.4833,-120.9195,0.0000,0.0000
2.1612,931.3217,-121.0644,0.0000,0.0000
2.1714,932.4304,-121.1711,0.0000,0.0000
2.1956,933.6903,-121.2637,0.0000,0.0000
2.1981,934.7735,-121.2880,0.0000,0.0000
2.2014,935.5350,-121.3454,0.0000,0.0000
2.2213,936.2510,-121.4445,0.0000,0.0000
2.2236,936.9430,-121.5775,0.0000,0.0000
2.2313,937.7072,-121.7167,0.0000,0.0000
2.2532,938.4219,-121.8523,0.0000,0.0000
2.2555,939.0925,-121.9098,0.0000,0.0000
2.2616,939.9284,-121.9343,0.0000,0.0000
2.2887,941.2373,-122.0799,0.0000,0.0000
2.2910,942.6814,-122.2314,0.0000,0.0000
2.3204,944.8689,-122.4466,0.0000,0.0000
2.3230,945.7822,-122.5647,0.0000,0.0000
2.3250,946.8658,-122.7335,0.0000,0.0000
2.3316,947.9951,-122.8865,0.0000,0.0000
2.3653,950.4526,-123.1659,0.0000,0.0000
2.3674,952.1839,-123.3740,0.0000,0.0000
2.3712,953.9112,-123.5323,0.0000,0.0000
2.3815,955.2113,-123.6025,0.0000,0.0000
2.3924,956.0891,-123.6038,0.0000,0.0000
