time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0005,-753.3690,-36.5010,0.0000,0.0000
0.0626,-753.3524,-36.5456,0.0000,0.0000
0.0713,-753.3876,-36.5412,0.0000,0.0000
0.0780,-753.3647,-36.5077,0.0000,0.0000
0.0866,-753.3629,-36.4781,0.0000,0.0000
0.1176,-753.4059,-36.4677,0.0000,0.0000
0.1204,-752.9493,-36.4489,0.0000,0.0000
0.1245,-751.9017,-36.4476,0.0000,0.0000
0.1344,-750.4265,-36.3142,0.0000,0.0000
0.1444,-748.7034,-36.3825,0.0000,0.0000
0.1546,-746.8180,-36.3777,0.0000,0.0000
0.1645,-745.0183,-36.4259,0.0000,0.0000
0.1748,-743.4995,-36.4777,0.0000,0.0000
0.2042,-741.2794,-36.6551,0.0000,0.0000
0.2070,-740.9274,-36.5937,0.0000,0.0000
0.2149,-740.9357,-36.5208,0.0000,0.0000
0.2493,-741.4026,-36.5322,0.0000,0.0000
0.2523,-741.6470,-36.5818,0.0000,0.0000
0.2544,-741.9091,-36.6159,0.0000,0.0000
0.2649,-742.1255,-36.5981,0.0000,0.0000
0.2747,-742.2499,-36.5798,0.0000,0.0000
0.2851,-742.1490,-36.5224,0.0000,0.0000
0.2950,-741.6189,-36.4661,0.0000,0.0000
0.3049,-740.7218,-36.3455,0.0000,0.0000
0.3144,-739.4916,-36.2463,0.0000,0.0000
0.3249,-737.8055,-36.2791,0.0000,0.0000
0.3347,-735.8756,-36.4665,0.0000,0.0000
0.3595,-733.8695,-36.6330,0.0000,0.0000
0.3618,-731.9584,-36.5999,0.0000,0.0000
0.3647,-730.1270,-36.4605,0.0000,0.0000
0.3947,-726.6726,-36.3451,0.0000,0.0000
0.3970,-725.6410,-36.4234,0.0000,0.0000
0.4048,-725.1338,-36.4997,0.0000,0.0000
0.4261,-725.0349,-36.4590,0.0000,0.0000
0.4285,-725.0834,-36.3266,0.0000,0.0000
0.4349,-725.1608,-36.2880,0.0000,0.0000
0.4448,-725.1536,-36.3502,0.0000,0.0000
0.4553,-725.1948,-36.3846,0.0000,0.0000
0.4651,-725.2364,-36.3799,0.0000,0.0000
0.4956,-724.4005,-36.5137,0.0000,0.0000
0.4980,-722.9255,-36.4105,0.0000,0.0000
0.5051,-721.0734,-36.3631,0.0000,0.0000
0.5149,-718.8478,-36.4885,0.0000,0.0000
0.5249,-716.3556,-36.4547,0.0000,0.0000
0.5345,-713.8440,-36.5327,0.0000,0.0000
0.5447,-711.6028,-36.5391,0.0000,0.0000
0.5547,-709.4393,-36.4246,0.0000,0.0000
0.5649,-707.6354,-36.4320,0.0000,0.0000
0.5747,-706.5171,-36.3692,0.0000,0.0000
0.5847,-705.9741,-36.3605,0.0000,0.0000
0.5945,-705.8853,-36.4127,0.0000,0.0000
0.6232,-706.1684,-36.4040,0.0000,0.0000
0.6252,-706.1066,-36.3075,0.0000,0.0000
0.6344,-706.0780,-36.3520,0.0000,0.0000
0.6557,-705.9253,-36.4012,0.0000,0.0000
0.6579,-705.3613,-36.4471,0.0000,0.0000
0.6647,-704.2037,-36.4474,0.0000,0.0000
0.6869,-702.6486,-36.3904,0.0000,0.0000
