time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0005,-123.1270,-7.2282,0.0000,0.0000
0.0949,-123.1061,-7.2454,0.0000,0.0000
0.1049,-123.1253,-7.2417,0.0000,0.0000
0.1131,-123.1117,-7.2708,0.0000,0.0000
0.1171,-123.0955,-7.2651,0.0000,0.0000
0.1288,-123.0844,-7.2318,0.0000,0.0000
0.1314,-123.1082,-7.2355,0.0000,0.0000
0.1397,-123.1186,-7.1837,0.0000,0.0000
0.1700,-121.4420,-6.9198,0.0000,0.0000
0.1720,-119.5683,-6.8012,0.0000,0.0000
0.1804,-117.3193,-6.8501,0.0000,0.0000
0.2004,-114.3692,-6.9435,0.0000,0.0000
0.2028,-110.8201,-6.8301,0.0000,0.0000
0.2100,-107.2558,-7.0154,0.0000,0.0000
0.2618,-96.5102,-7.0085,0.0000,0.0000
0.2646,-94.8700,-6.9567,0.0000,0.0000
0.2704,-93.9049,-6.9824,0.0000,0.0000
0.2806,-93.3784,-6.9458,0.0000,0.0000
0.2901,-93.1332,-6.8868,0.0000,0.0000
0.3006,-93.0349,-6.9318,0.0000,0.0000
0.3102,-92.6572,-6.8858,0.0000,0.0000
0.3403,-91.5514,-6.9676,0.0000,0.0000
0.3427,-90.3831,-6.8858,0.0000,0.0000
0.3505,-88.4359,-6.9573,0.0000,0.0000
0.3605,-86.0917,-6.9644,0.0000,0.0000
0.3712,-83.0966,-6.8425,0.0000,0.0000
0.3803,-79.6297,-6.8099,0.0000,0.0000
0.4095,-73.7917,-6.6467,0.0000,0.0000
0.4116,-71.3647,-6.6565,0.0000,0.0000
0.4204,-69.2198,-6.5737,0.0000,0.0000
0.4544,-66.5182,-6.7052,0.0000,0.0000
0.4567,-65.9547,-6.7137,0.0000,0.0000
0.4603,-65.6593,-6.7440,0.0000,0.0000
0.4713,-65.4683,-6.6347,0.0000,0.0000
0.4802,-65.3620,-6.6090,0.0000,0.0000
0.4901,-65.4030,-6.6949,0.0000,0.0000
0.5007,-65.5759,-6.7402,0.0000,0.0000
0.5103,-65.6200,-6.7058,0.0000,0.0000
0.5205,-65.1495,-6.7217,0.0000,0.0000
0.5305,-63.8041,-7.0534,0.0000,0.0000
0.5627,-59.4508,-7.2495,0.0000,0.0000
0.5650,-56.6881,-7.3399,0.0000,0.0000
0.5705,-53.1450,-7.2834,0.0000,0.0000
0.5805,-49.2249,-7.3122,0.0000,0.0000
0.5908,-45.3056,-7.0951,0.0000,0.0000
0.6003,-41.3457,-7.2535,0.0000,0.0000
0.6106,-37.4614,-7.1555,0.0000,0.0000
0.6200,-34.0731,-7.0132,0.0000,0.0000
0.6307,-31.2300,-7.2376,0.0000,0.0000
0.6402,-29.1553,-7.2300,0.0000,0.0000
0.6511,-27.6947,-7.0410,0.0000,0.0000
0.6605,-26.7405,-7.0070,0.0000,0.0000
0.6708,-26.1231,-7.0824,0.0000,0.0000
0.6954,-25.9897,-7.1268,0.0000,0.0000
0.6976,-26.2229,-7.1788,0.0000,0.0000
