time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0004,-1120.6067,-32.0684,0.0000,0.0000
0.0666,-1120.5950,-32.0526,0.0000,0.0000
0.0769,-1120.6160,-32.0509,0.0000,0.0000
0.0907,-1120.4781,-32.0235,0.0000,0.0000
0.0947,-1119.6376,-31.9714,0.0000,0.0000
0.1108,-1118.0404,-31.9885,0.0000,0.0000
0.1134,-1115.8803,-32.0069,0.0000,0.0000
0.1228,-1113.1830,-32.0385,0.0000,0.0000
0.1330,-1110.1496,-32.2443,0.0000,0.0000
0.1555,-1107.7409,-32.3436,0.0000,0.0000
0.1578,-1106.0797,-32.2940,0.0000,0.0000
0.1627,-1104.3051,-32.1602,0.0000,0.0000
0.1731,-1101.9554,-32.2073,0.0000,0.0000
0.1830,-1099.3475,-32.4457,0.0000,0.0000
0.1938,-1096.7469,-32.5728,0.0000,0.0000
0.2273,-1090.6632,-32.7286,0.0000,0.0000
0.2297,-1087.3141,-32.6931,0.0000,0.0000
0.2328,-1083.7365,-32.8913,0.0000,0.0000
0.2432,-1080.3018,-33.0637,0.0000,0.0000
0.2529,-1077.8022,-33.0441,0.0000,0.0000
0.2629,-1075.7764,-33.2407,0.0000,0.0000
0.2923,-1072.4931,-32.9654,0.0000,0.0000
0.2961,-1071.0222,-32.9180,0.0000,0.0000
0.3034,-1068.2350,-33.0318,0.0000,0.0000
0.3377,-1061.4094,-33.1562,0.0000,0.0000
0.3399,-1057.4283,-33.3064,0.0000,0.0000
0.3425,-1053.0648,-33.6822,0.0000,0.0000
0.3534,-1049.2689,-33.9041,0.0000,0.0000
0.3629,-1046.3670,-34.0950,0.0000,0.0000
0.3731,-1043.7965,-34.4069,0.0000,0.0000
0.3829,-1041.6573,-34.5183,0.0000,0.0000
0.3931,-1039.8253,-34.3805,0.0000,0.0000
0.4026,-1038.2213,-34.0968,0.0000,0.0000
0.4134,-1035.9906,-34.2063,0.0000,0.0000
0.4232,-1032.6806,-34.2499,0.0000,0.0000
0.4334,-1029.3048,-34.3129,0.0000,0.0000
0.4432,-1025.6159,-34.2962,0.0000,0.0000
0.4537,-1021.3203,-34.3877,0.0000,0.0000
0.5292,-1007.4448,-34.4268,0.0000,0.0000
0.5319,-1007.2099,-34.5280,0.0000,0.0000
0.5343,-1007.3111,-34.5236,0.0000,0.0000
0.5431,-1007.4301,-34.3643,0.0000,0.0000
0.5530,-1007.3668,-34.2491,0.0000,0.0000
0.5629,-1007.3832,-34.3055,0.0000,0.0000
0.5732,-1007.4844,-34.2948,0.0000,0.0000
0.6079,-1004.9557,-34.1775,0.0000,0.0000
0.6101,-1002.9498,-34.2169,0.0000,0.0000
0.6127,-1000.9260,-34.4090,0.0000,0.0000
0.6232,-998.9705,-34.7155,0.0000,0.0000
0.6327,-997.7151,-34.7301,0.0000,0.0000
0.6433,-996.7785,-34.7596,0.0000,0.0000
0.6532,-996.0089,-34.8190,0.0000,0.0000
0.6640,-995.4948,-34.6015,0.0000,0.0000
0.6729,-994.5990,-34.3596,0.0000,0.0000
0.6833,-992.9968,-34.2370,0.0000,0.0000
0.6938,-990.7653,-34.4044,0.0000,0.0000
0.7234,-984.8436,-34.5564,0.0000,0.0000
0.7258,-981.5554,-35.0942,0.0000,0.0000
0.7331,-978.9194,-35.1879,0.0000,0.0000
0.7431,-976.7031,-35.2037,0.0000,0.0000
0.7530,-974.7186,-35.5018,0.0000,0.0000
0.7627,-973.2733,-35.6274,0.0000,0.0000
0.7731,-972.2688,-35.5417,0.0000,0.0000
0.7833,-971.3410,-35.4827,0.0000,0.0000
0.7933,-970.0483,-35.3168,0.0000,0.0000
0.8223,-965.7833,-34.9585,0.0000,0.0000
0.8245,-962.8525,-35.4478,0.0000,0.0000
0.8328,-959.6461,-35.7325,0.0000,0.0000
0.8430,-956.6883,-35.9067,0.0000,0.0000
0.8531,-954.7372,-35.9441,0.0000,0.0000
0.8635,-953.1635,-35.7513,0.0000,0.0000
0.8943,-950.4100,-35.5617,0.0000,0.0000
0.8966,-948.7037,-35.6046,0.0000,0.0000
0.9026,-946.4793,-35.4785,0.0000,0.0000
0.9383,-940.3039,-36.0817,0.0000,0.0000
0.9406,-936.4476,-36.2158,0.0000,0.0000
0.9429,-932.7513,-36.2383,0.0000,0.0000
0.9797,-927.5147,-36.2055,0.0000,0.0000
0.9820,-925.5462,-36.1525,0.0000,0.0000
0.9841,-924.0132,-36.1936,0.0000,0.0000
0.9929,-923.0092,-36.2768,0.0000,0.0000
1.0100,-922.4077,-36.2205,0.0000,0.0000
1.0129,-921.7474,-36.2691,0.0000,0.0000
1.0223,-920.8849,-36.3313,0.0000,0.0000
1.0328,-919.8523,-36.3081,0.0000,0.0000
1.0428,-918.0439,-36.3745,0.0000,0.0000
1.0534,-915.5858,-36.6373,0.0000,0.0000
1.0655,-912.7542,-36.8192,0.0000,0.0000
1.0732,-909.7497,-37.0801,0.0000,0.0000
1.1119,-903.2780,-37.0871,0.0000,0.0000
1.1142,-901.7735,-37.1907,0.0000,0.0000
1.1231,-900.9038,-37.2463,0.0000,0.0000
1.1424,-900.5050,-37.2572,0.0000,0.0000
1.1446,-900.4496,-37.1881,0.0000,0.0000
1.1527,-900.3534,-37.0227,0.0000,0.0000
1.1833,-899.0838,-37.2594,0.0000,0.0000
1.1856,-898.2299,-37.3516,0.0000,0.0000
1.1929,-896.9586,-37.4052,0.0000,0.0000
1.2031,-895.6358,-37.4582,0.0000,0.0000
1.2135,-894.6327,-37.5439,0.0000,0.0000
1.2231,-893.8090,-37.5435,0.0000,0.0000
1.2335,-893.0034,-37.5959,0.0000,0.0000
1.2430,-892.1260,-37.6800,0.0000,0.0000
1.2532,-890.7631,-37.8007,0.0000,0.0000
1.2631,-888.5588,-37.8447,0.0000,0.0000
1.2733,-886.1006,-37.8947,0.0000,0.0000
1.2938,-883.8334,-38.1989,0.0000,0.0000
1.2960,-882.1699,-38.4840,0.0000,0.0000
1.3027,-880.9068,-38.5854,0.0000,0.0000
1.3131,-879.8877,-38.6458,0.0000,0.0000
1.3235,-879.3362,-38.7295,0.0000,0.0000
1.3331,-878.9780,-38.5838,0.0000,0.0000
1.3429,-878.5272,-38.4408,0.0000,0.0000
1.3749,-876.5128,-38.2351,0.0000,0.0000
1.3770,-874.4240,-38.6728,0.0000,0.0000
1.3826,-871.9403,-38.9551,0.0000,0.0000
1.3932,-869.2497,-39.3157,0.0000,0.0000
1.4033,-866.9547,-39.4701,0.0000,0.0000
1.4333,-863.5800,-39.3139,0.0000,0.0000
1.4355,-861.8780,-39.3220,0.0000,0.0000
1.4423,-859.7621,-39.4188,0.0000,0.0000
1.4526,-857.0850,-39.6668,0.0000,0.0000
1.4625,-853.8354,-40.0137,0.0000,0.0000
1.4728,-850.1503,-40.0790,0.0000,0.0000
1.5092,-842.6956,-40.6825,0.0000,0.0000
1.5112,-839.2227,-40.9349,0.0000,0.0000
1.5130,-835.4967,-41.2472,0.0000,0.0000
1.5237,-831.7058,-41.3022,0.0000,0.0000
1.5556,-826.2743,-41.9158,0.0000,0.0000
1.5579,-824.4965,-41.9082,0.0000,0.0000
1.5625,-823.1679,-41.9272,0.0000,0.0000
1.5734,-822.2806,-41.9609,0.0000,0.0000
1.5831,-821.7827,-42.0161,0.0000,0.0000
1.5932,-821.5675,-41.7789,0.0000,0.0000
1.6230,-819.6501,-41.8603,0.0000,0.0000
1.6252,-817.8639,-41.8937,0.0000,0.0000
1.6328,-815.5493,-42.2822,0.0000,0.0000
1.6667,-809.0474,-43.0150,0.0000,0.0000
1.6701,-805.9862,-43.4820,0.0000,0.0000
1.6728,-803.3083,-43.5660,0.0000,0.0000
1.6825,-800.8326,-43.6741,0.0000,0.0000
1.6926,-798.9437,-43.9286,0.0000,0.0000
1.7026,-797.5533,-44.0249,0.0000,0.0000
1.7133,-796.3267,-43.9590,0.0000,0.0000
1.7299,-794.9833,-43.9596,0.0000,0.0000
1.7327,-793.4619,-44.0222,0.0000,0.0000
1.7427,-791.8019,-44.0639,0.0000,0.0000
1.7745,-786.5608,-44.6644,0.0000,0.0000
1.7768,-783.3275,-45.0391,0.0000,0.0000
1.7827,-780.6418,-45.3103,0.0000,0.0000
1.8060,-778.8110,-45.3447,0.0000,0.0000
1.8083,-777.3220,-45.3200,0.0000,0.0000
1.8126,-776.2114,-45.3899,0.0000,0.0000
1.8408,-775.1344,-45.5117,0.0000,0.0000
1.8432,-774.5930,-45.6441,0.0000,0.0000
1.8530,-773.6321,-45.7906,0.0000,0.0000
1.8860,-771.9609,-45.9391,0.0000,0.0000
1.8883,-770.8524,-45.9785,0.0000,0.0000
1.8928,-769.4044,-46.2132,0.0000,0.0000
1.9029,-767.8629,-46.3749,0.0000,0.0000
1.9146,-766.6245,-46.4423,0.0000,0.0000
1.9229,-765.8806,-46.5552,0.0000,0.0000
1.9331,-765.4404,-46.6999,0.0000,0.0000
1.9428,-764.9491,-46.8456,0.0000,0.0000
1.9755,-762.3540,-46.9951,0.0000,0.0000
1.9778,-760.2537,-47.2759,0.0000,0.0000
1.9826,-757.6832,-47.5703,0.0000,0.0000
1.9928,-754.7529,-47.6435,0.0000,0.0000
2.0029,-751.4498,-47.9719,0.0000,0.0000
2.0133,-747.9008,-48.2622,0.0000,0.0000
2.0236,-744.5279,-48.5497,0.0000,0.0000
2.0332,-741.3352,-48.6514,0.0000,0.0000
2.0434,-738.6178,-49.0243,0.0000,0.0000
2.0534,-735.8930,-49.3648,0.0000,0.0000
2.0632,-733.4164,-49.5364,0.0000,0.0000
2.0733,-731.5138,-49.6758,0.0000,0.0000
2.0834,-730.2385,-49.8622,0.0000,0.0000
2.0930,-729.2293,-49.9673,0.0000,0.0000
2.1032,-728.3014,-49.9886,0.0000,0.0000
2.1128,-726.9013,-50.1025,0.0000,0.0000
2.1231,-725.3305,-50.1299,0.0000,0.0000
2.1328,-723.7284,-50.3843,0.0000,0.0000
2.1430,-721.8072,-50.8421,0.0000,0.0000
2.1529,-719.8451,-51.0173,0.0000,0.0000
2.1631,-718.1204,-51.1208,0.0000,0.0000
2.1728,-716.5683,-51.1033,0.0000,0.0000
2.1834,-715.5735,-51.1550,0.0000,0.0000
2.1931,-715.1039,-51.2380,0.0000,0.0000
2.2031,-715.0046,-51.2123,0.0000,0.0000
2.2127,-715.0457,-51.1394,0.0000,0.0000
2.2457,-714.3364,-51.1814,0.0000,0.0000
2.2480,-713.4130,-51.2448,0.0000,0.0000
2.2531,-711.6135,-51.3230,0.0000,0.0000
2.2762,-709.0843,-51.5933,0.0000,0.0000
2.2784,-706.0497,-52.0196,0.0000,0.0000
2.2837,-702.8527,-52.3653,0.0000,0.0000
