time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0004,1838.3967,128.8111,0.0000,0.0000
0.0785,1838.3719,128.8480,0.0000,0.0000
0.0873,1838.3851,128.8293,0.0000,0.0000
0.0932,1838.4019,128.7853,0.0000,0.0000
0.1235,1834.5513,128.5660,0.0000,0.0000
0.1343,1832.3844,128.4114,0.0000,0.0000
0.1383,1830.0754,128.2645,0.0000,0.0000
0.1521,1828.2606,128.1515,0.0000,0.0000
0.1548,1827.1026,127.9962,0.0000,0.0000
0.1649,1825.9636,127.7093,0.0000,0.0000
0.1986,1824.6921,127.6619,0.0000,0.0000
0.2010,1824.1938,127.6785,0.0000,0.0000
0.2051,1823.4977,127.6616,0.0000,0.0000
0.2153,1822.7833,127.5743,0.0000,0.0000
0.2251,1822.2020,127.4595,0.0000,0.0000
0.2353,1821.7956,127.4580,0.0000,0.0000
0.2454,1821.3856,127.3890,0.0000,0.0000
0.2549,1820.4765,127.1825,0.0000,0.0000
0.2656,1818.6531,127.0852,0.0000,0.0000
0.2757,1816.4175,126.9995,0.0000,0.0000
0.3059,1812.1141,126.9790,0.0000,0.0000
0.3080,1810.7640,126.8131,0.0000,0.0000
0.3163,1809.5731,126.7717,0.0000,0.0000
0.3252,1808.6752,126.8300,0.0000,0.0000
0.3352,1808.1995,126.8714,0.0000,0.0000
0.3452,1807.9849,126.7427,0.0000,0.0000
0.3774,1807.4224,126.6099,0.0000,0.0000
0.3797,1806.7667,126.5733,0.0000,0.0000
0.3851,1805.2548,126.6074,0.0000,0.0000
0.4182,1800.4548,126.0411,0.0000,0.0000
0.4205,1797.4671,126.0890,0.0000,0.0000
0.4248,1794.6667,126.0580,0.0000,0.0000
0.4617,1791.1145,125.9712,0.0000,0.0000
0.4640,1789.8446,125.9274,0.0000,0.0000
0.4661,1789.0727,125.8410,0.0000,0.0000
0.4754,1788.7750,125.8518,0.0000,0.0000
0.4853,1788.6961,125.8721,0.0000,0.0000
0.4952,1788.7135,125.6987,0.0000,0.0000
0.5057,1788.5195,125.4800,0.0000,0.0000
0.5152,1787.7204,125.3535,0.0000,0.0000
0.5254,1786.0638,125.3827,0.0000,0.0000
0.5351,1783.9760,125.4624,0.0000,0.0000
0.5454,1781.7722,125.6189,0.0000,0.0000
0.5550,1779.6546,125.6691,0.0000,0.0000
0.5840,1777.1630,125.3947,0.0000,0.0000
0.5863,1776.0858,125.2916,0.0000,0.0000
0.5952,1775.4734,125.2234,0.0000,0.0000
0.6054,1775.3786,125.3828,0.0000,0.0000
0.6155,1775.5424,125.2659,0.0000,0.0000
0.6252,1775.6682,125.0145,0.0000,0.0000
0.6547,1775.1882,124.9861,0.0000,0.0000
0.6569,1774.3560,124.9437,0.0000,0.0000
0.6659,1772.8630,124.9305,0.0000,0.0000
0.6856,1771.3359,124.9541,0.0000,0.0000
0.6878,1770.2582,124.9387,0.0000,0.0000
0.6951,1769.5506,124.9482,0.0000,0.0000
0.7056,1768.9243,124.8338,0.0000,0.0000
0.7156,1768.4343,124.7486,0.0000,0.0000
0.7251,1768.0600,124.7360,0.0000,0.0000
0.7352,1767.7455,124.6920,0.0000,0.0000
0.7450,1767.4172,124.6119,0.0000,0.0000
0.7554,1766.4257,124.5414,0.0000,0.0000
0.7651,1764.8915,124.4784,0.0000,0.0000
0.7752,1763.0756,124.5464,0.0000,0.0000
0.7851,1761.5018,124.5618,0.0000,0.0000
0.7949,1760.3241,124.3763,0.0000,0.0000
0.8057,1759.3990,124.2546,0.0000,0.0000
0.8152,1758.5818,124.1441,0.0000,0.0000
0.8250,1758.1714,124.1628,0.0000,0.0000
0.8350,1757.9586,124.0986,0.0000,0.0000
0.8449,1757.6895,124.1085,0.0000,0.0000
0.8550,1757.1817,124.1217,0.0000,0.0000
0.8651,1756.4200,124.0349,0.0000,0.0000
0.8757,1755.1119,123.8333,0.0000,0.0000
0.8853,1753.4564,123.6794,0.0000,0.0000
0.9149,1750.7603,123.6290,0.0000,0.0000
0.9172,1749.8253,123.5938,0.0000,0.0000
0.9253,1749.1348,123.5809,0.0000,0.0000
0.9348,1748.9296,123.4980,0.0000,0.0000
0.9452,1749.0764,123.5204,0.0000,0.0000
0.9553,1749.2635,123.5069,0.0000,0.0000
0.9651,1749.2433,123.4550,0.0000,0.0000
0.9750,1749.1142,123.4237,0.0000,0.0000
0.9854,1748.3869,123.3615,0.0000,0.0000
0.9955,1746.9080,123.4065,0.0000,0.0000
1.0053,1745.1464,123.1784,0.0000,0.0000
1.0163,1743.6333,123.0095,0.0000,0.0000
1.0251,1742.5979,123.0601,0.0000,0.0000
1.0351,1741.7416,122.9535,0.0000,0.0000
1.0451,1741.0887,123.0124,0.0000,0.0000
1.0552,1740.7775,122.9870,0.0000,0.0000
1.0654,1740.6818,122.8572,0.0000,0.0000
1.0749,1740.4340,122.8427,0.0000,0.0000
1.0853,1739.9228,122.8469,0.0000,0.0000
1.0956,1738.8763,122.8223,0.0000,0.0000
1.1125,1737.2280,122.7952,0.0000,0.0000
1.1150,1735.3209,122.6788,0.0000,0.0000
1.1252,1733.7786,122.6227,0.0000,0.0000
1.1358,1732.8589,122.5345,0.0000,0.0000
1.1453,1732.0292,122.4257,0.0000,0.0000
1.1550,1731.2202,122.4522,0.0000,0.0000
1.1655,1730.8005,122.5219,0.0000,0.0000
1.1754,1730.6417,122.4832,0.0000,0.0000
1.1854,1730.0251,122.3493,0.0000,0.0000
1.1952,1728.7173,122.2792,0.0000,0.0000
1.2055,1727.0721,122.2306,0.0000,0.0000
1.2152,1725.3380,122.1542,0.0000,0.0000
1.2253,1723.5804,121.9670,0.0000,0.0000
1.2352,1721.9125,121.8807,0.0000,0.0000
1.2678,1718.8868,121.7565,0.0000,0.0000
1.2700,1718.1332,121.7643,0.0000,0.0000
1.2750,1717.8916,121.8618,0.0000,0.0000
1.2849,1718.0014,121.7498,0.0000,0.0000
1.2958,1718.2672,121.6622,0.0000,0.0000
1.3051,1718.2875,121.6400,0.0000,0.0000
1.3246,1718.0752,121.6104,0.0000,0.0000
1.3272,1717.9337,121.5461,0.0000,0.0000
1.3353,1717.2034,121.4193,0.0000,0.0000
1.3459,1715.7829,121.3787,0.0000,0.0000
1.3558,1714.2195,121.3425,0.0000,0.0000
1.3657,1712.7647,121.2604,0.0000,0.0000
1.3751,1711.6985,121.2966,0.0000,0.0000
1.3850,1710.8896,121.2587,0.0000,0.0000
1.3955,1710.1912,121.0209,0.0000,0.0000
1.4051,1709.8576,120.9054,0.0000,0.0000
1.4164,1709.8579,120.9835,0.0000,0.0000
1.4252,1709.8369,121.0347,0.0000,0.0000
1.4353,1709.4173,120.9803,0.0000,0.0000
1.4449,1708.6543,120.9067,0.0000,0.0000
1.4552,1707.3541,121.0246,0.0000,0.0000
1.4648,1705.6692,120.9845,0.0000,0.0000
1.4752,1704.0720,120.9610,0.0000,0.0000
1.4853,1702.9534,120.8867,0.0000,0.0000
1.4976,1702.0048,120.8353,0.0000,0.0000
1.5050,1701.0793,120.6835,0.0000,0.0000
1.5155,1700.5990,120.7741,0.0000,0.0000
1.5250,1700.4839,120.8190,0.0000,0.0000
1.5352,1700.3649,120.6770,0.0000,0.0000
1.5451,1699.8040,120.6264,0.0000,0.0000
1.5568,1698.9608,120.5095,0.0000,0.0000
1.5649,1697.5045,120.5306,0.0000,0.0000
1.5753,1695.5464,120.6677,0.0000,0.0000
1.5850,1693.5901,120.6440,0.0000,0.0000
1.5955,1691.9982,120.4935,0.0000,0.0000
1.6050,1690.8336,120.3582,0.0000,0.0000
1.6155,1689.9500,120.1924,0.0000,0.0000
1.6457,1689.3565,120.0306,0.0000,0.0000
1.6482,1689.2146,119.9499,0.0000,0.0000
1.6551,1688.7994,119.9096,0.0000,0.0000
1.6678,1687.9811,119.8282,0.0000,0.0000
1.6750,1686.6306,119.6974,0.0000,0.0000
