time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0003,-861.1161,-38.4712,0.0000,0.0000
0.0611,-861.1183,-38.4735,0.0000,0.0000
0.0702,-861.3868,-38.6736,0.0000,0.0000
0.0766,-860.9913,-38.4111,0.0000,0.0000
0.0935,-860.9715,-38.4156,0.0000,0.0000
0.1067,-860.6480,-38.3079,0.0000,0.0000
0.1095,-859.7411,-38.3226,0.0000,0.0000
0.1168,-858.4231,-38.4620,0.0000,0.0000
0.1264,-856.8161,-38.5478,0.0000,0.0000
0.1368,-855.0588,-38.5701,0.0000,0.0000
0.1466,-853.1499,-38.5098,0.0000,0.0000
0.1686,-851.7004,-38.5584,0.0000,0.0000
0.1708,-850.2592,-38.6497,0.0000,0.0000
0.1765,-848.9794,-38.7138,0.0000,0.0000
0.1872,-848.4044,-38.7085,0.0000,0.0000
0.1973,-848.2320,-38.6873,0.0000,0.0000
0.2070,-848.2942,-38.6820,0.0000,0.0000
0.2168,-848.3245,-38.6312,0.0000,0.0000
0.2267,-848.2901,-38.6138,0.0000,0.0000
0.2367,-848.2561,-38.6861,0.0000,0.0000
0.2663,-847.5328,-38.5745,0.0000,0.0000
0.2684,-846.0732,-38.5373,0.0000,0.0000
0.2766,-844.5059,-38.6587,0.0000,0.0000
0.3125,-839.8262,-38.8389,0.0000,0.0000
0.3148,-837.4561,-39.1960,0.0000,0.0000
0.3168,-835.4760,-39.1535,0.0000,0.0000
0.3267,-833.5408,-39.1434,0.0000,0.0000
0.3366,-831.7599,-39.1400,0.0000,0.0000
0.3462,-830.6013,-39.1088,0.0000,0.0000
0.3567,-829.9920,-39.1149,0.0000,0.0000
0.3665,-829.7849,-39.1252,0.0000,0.0000
0.3769,-829.8904,-39.0611,0.0000,0.0000
0.3865,-830.0256,-38.9876,0.0000,0.0000
0.3967,-830.2017,-38.9004,0.0000,0.0000
0.4074,-830.3647,-38.8444,0.0000,0.0000
0.4164,-830.2966,-38.7828,0.0000,0.0000
0.4266,-829.6436,-38.8698,0.0000,0.0000
0.4368,-828.2956,-38.9660,0.0000,0.0000
0.4462,-826.4214,-38.9445,0.0000,0.0000
0.4566,-824.1608,-39.0613,0.0000,0.0000
0.4665,-821.8830,-39.1533,0.0000,0.0000
0.4765,-819.8893,-39.0884,0.0000,0.0000
0.4863,-817.8961,-39.2060,0.0000,0.0000
0.5286,-813.5569,-39.4728,0.0000,0.0000
0.5309,-813.3167,-39.4900,0.0000,0.0000
0.5365,-813.3841,-39.2475,0.0000,0.0000
0.5666,-813.8881,-39.1440,0.0000,0.0000
0.5690,-814.0399,-39.1143,0.0000,0.0000
0.5766,-814.1347,-39.1751,0.0000,0.0000
0.5864,-814.1471,-39.1736,0.0000,0.0000
0.5970,-813.9197,-39.0722,0.0000,0.0000
0.6066,-813.0714,-39.0604,0.0000,0.0000
0.6357,-810.1945,-39.1920,0.0000,0.0000
0.6382,-808.2453,-39.2970,0.0000,0.0000
0.6480,-806.1862,-39.3439,0.0000,0.0000
0.6667,-804.0564,-39.3501,0.0000,0.0000
0.6688,-801.9111,-39.3434,0.0000,0.0000
0.6766,-799.8615,-39.5092,0.0000,0.0000
0.6867,-797.9777,-39.5959,0.0000,0.0000
0.6968,-796.4431,-39.6620,0.0000,0.0000
0.7068,-795.3013,-39.6980,0.0000,0.0000
0.7167,-794.6682,-39.6255,0.0000,0.0000
0.7264,-794.4157,-39.5781,0.0000,0.0000
0.7370,-794.2163,-39.6610,0.0000,0.0000
0.7618,-794.1211,-39.7482,0.0000,0.0000
0.7641,-794.0993,-39.7200,0.0000,0.0000
0.7672,-794.0125,-39.7567,0.0000,0.0000
0.7919,-793.6991,-39.7574,0.0000,0.0000
0.7942,-792.8062,-39.7149,0.0000,0.0000
0.7964,-791.3464,-39.8286,0.0000,0.0000
0.8228,-789.4149,-39.9709,0.0000,0.0000
0.8251,-787.2189,-40.0922,0.0000,0.0000
0.8273,-784.8268,-40.2362,0.0000,0.0000
0.8369,-782.6964,-40.3387,0.0000,0.0000
0.8464,-780.8955,-40.4351,0.0000,0.0000
0.8567,-779.1832,-40.3109,0.0000,0.0000
0.8665,-777.9753,-40.2858,0.0000,0.0000
0.8966,-777.2454,-40.3500,0.0000,0.0000
0.8989,-777.3224,-40.4051,0.0000,0.0000
0.9071,-777.4618,-40.3973,0.0000,0.0000
0.9404,-777.7731,-40.2389,0.0000,0.0000
0.9426,-777.9010,-40.3042,0.0000,0.0000
0.9462,-777.9809,-40.2794,0.0000,0.0000
0.9566,-777.5822,-40.1310,0.0000,0.0000
0.9665,-776.5377,-40.0196,0.0000,0.0000
0.9771,-775.0890,-40.0595,0.0000,0.0000
0.9870,-773.2524,-40.1322,0.0000,0.0000
0.9969,-771.2408,-40.2923,0.0000,0.0000
1.0067,-769.2370,-40.5054,0.0000,0.0000
1.0171,-767.4362,-40.4855,0.0000,0.0000
1.0266,-765.6362,-40.4664,0.0000,0.0000
1.0367,-763.8946,-40.3414,0.0000,0.0000
1.0466,-762.7562,-40.3203,0.0000,0.0000
1.0570,-762.3249,-40.3577,0.0000,0.0000
1.0669,-762.3214,-40.3985,0.0000,0.0000
1.0766,-762.4620,-40.3534,0.0000,0.0000
1.1056,-762.7081,-40.2464,0.0000,0.0000
1.1074,-762.7198,-40.2500,0.0000,0.0000
1.1163,-762.5561,-40.2888,0.0000,0.0000
1.1466,-760.1296,-40.2728,0.0000,0.0000
1.1488,-758.1677,-40.3040,0.0000,0.0000
1.1564,-755.9380,-40.4702,0.0000,0.0000
1.1667,-753.6154,-40.6141,0.0000,0.0000
1.1766,-751.1974,-40.5976,0.0000,0.0000
1.1870,-748.9177,-40.7845,0.0000,0.0000
1.1969,-746.7379,-40.8830,0.0000,0.0000
1.2070,-744.7716,-40.9166,0.0000,0.0000
1.2166,-743.3594,-41.0741,0.0000,0.0000
1.2269,-742.5365,-41.1130,0.0000,0.0000
1.2365,-742.2691,-41.1386,0.0000,0.0000
1.2467,-742.3460,-41.0972,0.0000,0.0000
1.2582,-742.6192,-41.0094,0.0000,0.0000
1.2671,-742.7944,-40.9425,0.0000,0.0000
1.2894,-742.7496,-40.9293,0.0000,0.0000
1.2928,-742.7285,-40.9877,0.0000,0.0000
1.2961,-742.2899,-41.0623,0.0000,0.0000
1.3065,-741.0728,-41.1674,0.0000,0.0000
1.3162,-739.3863,-41.1965,0.0000,0.0000
1.3356,-737.4469,-41.0850,0.0000,0.0000
1.3375,-735.2191,-41.1009,0.0000,0.0000
1.3464,-733.0963,-41.3241,0.0000,0.0000
1.3567,-731.3072,-41.5038,0.0000,0.0000
1.3666,-729.7937,-41.4871,0.0000,0.0000
1.3764,-728.3106,-41.4689,0.0000,0.0000
1.3867,-727.2425,-41.5682,0.0000,0.0000
1.3964,-726.6950,-41.5234,0.0000,0.0000
1.4254,-726.4882,-41.5828,0.0000,0.0000
1.4276,-726.4660,-41.5366,0.0000,0.0000
1.4362,-726.3727,-41.5412,0.0000,0.0000
1.4694,-726.1088,-41.5656,0.0000,0.0000
1.4716,-725.6257,-41.6116,0.0000,0.0000
1.4763,-724.4326,-41.7564,0.0000,0.0000
1.4865,-722.8836,-41.8672,0.0000,0.0000
1.4964,-720.9406,-41.8020,0.0000,0.0000
1.5067,-718.8572,-41.6912,0.0000,0.0000
1.5166,-717.0042,-41.6450,0.0000,0.0000
1.5266,-715.4468,-41.7278,0.0000,0.0000
1.5368,-714.0762,-41.7328,0.0000,0.0000
1.5463,-713.1300,-41.6964,0.0000,0.0000
1.5758,-712.9238,-41.6783,0.0000,0.0000
1.5781,-713.1140,-41.7495,0.0000,0.0000
1.5863,-713.3166,-41.8919,0.0000,0.0000
1.6194,-713.5776,-41.8255,0.0000,0.0000
1.6228,-713.7183,-41.8084,0.0000,0.0000
1.6265,-713.5678,-41.8582,0.0000,0.0000
1.6367,-712.9856,-42.0607,0.0000,0.0000
1.6467,-712.0227,-42.2056,0.0000,0.0000
1.6566,-710.9278,-42.3145,0.0000,0.0000
1.6667,-709.4601,-42.1992,0.0000,0.0000
1.6763,-707.8243,-42.0713,0.0000,0.0000
1.6866,-706.2625,-42.1582,0.0000,0.0000
1.6967,-704.8906,-42.3431,0.0000,0.0000
1.7065,-703.7173,-42.5273,0.0000,0.0000
1.7163,-702.5405,-42.6499,0.0000,0.0000
1.7269,-701.4131,-42.6282,0.0000,0.0000
1.7444,-700.6890,-42.6766,0.0000,0.0000
1.7466,-700.3607,-42.6650,0.0000,0.0000
1.7566,-700.2516,-42.6526,0.0000,0.0000
1.7671,-699.9720,-42.6671,0.0000,0.0000
1.7765,-699.5208,-42.6468,0.0000,0.0000
1.7868,-699.1617,-42.6521,0.0000,0.0000
1.8190,-698.2849,-42.7026,0.0000,0.0000
1.8213,-697.0596,-42.9039,0.0000,0.0000
1.8294,-695.4846,-43.0239,0.0000,0.0000
1.8363,-693.7301,-43.0460,0.0000,0.0000
1.8464,-691.8224,-42.9705,0.0000,0.0000
1.8569,-689.9577,-42.8797,0.0000,0.0000
1.8868,-686.4935,-43.1763,0.0000,0.0000
1.8892,-685.0703,-43.1874,0.0000,0.0000
1.8966,-684.1666,-43.3876,0.0000,0.0000
1.9307,-683.8394,-43.2923,0.0000,0.0000
1.9331,-683.9030,-43.3106,0.0000,0.0000
1.9365,-683.9878,-43.3000,0.0000,0.0000
1.9466,-684.1071,-43.3538,0.0000,0.0000
1.9564,-684.2778,-43.3408,0.0000,0.0000
1.9663,-684.4625,-43.3623,0.0000,0.0000
1.9768,-684.5755,-43.3526,0.0000,0.0000
1.9874,-684.2231,-43.1828,0.0000,0.0000
1.9967,-683.2565,-43.2637,0.0000,0.0000
2.0065,-681.7858,-43.3623,0.0000,0.0000
2.0382,-677.7637,-43.6918,0.0000,0.0000
2.0404,-675.7647,-43.7463,0.0000,0.0000
2.0465,-674.2253,-43.8064,0.0000,0.0000
2.0566,-672.5879,-43.8066,0.0000,0.0000
2.0662,-670.8644,-43.7806,0.0000,0.0000
2.0774,-669.3015,-43.8333,0.0000,0.0000
2.0868,-668.2519,-43.9835,0.0000,0.0000
