time[s], wr_x[mm], wr_y[mm] 
0.0003,1071.7086,259.0704
0.0214,1071.7478,259.0624
0.0231,1071.7315,259.0177
0.0268,1071.7362,259.0638
0.0490,1071.7603,259.0464
0.0498,1071.7639,258.9187
0.0572,1071.6761,258.4875
0.0802,1071.4976,257.5726
0.0810,1071.3214,256.1440
0.0869,1071.1201,254.3758
0.1114,1070.7618,252.3191
0.1121,1070.5486,250.1956
0.1172,1070.4468,248.1989
0.1426,1070.2973,246.1690
0.1435,1070.0911,244.0491
0.1469,1069.8787,241.8299
0.1571,1069.6421,239.5145
0.1734,1069.3198,237.1162
0.1774,1069.1490,234.7371
0.1869,1069.1089,232.5103
0.2074,1069.0721,230.3095
0.2081,1068.7689,228.0398
0.2237,1068.5981,225.6631
0.2383,1068.4058,223.2872
0.2392,1068.1453,220.9229
0.2469,1067.9388,218.5069
0.2698,1067.7221,215.9564
0.2706,1067.5197,213.4880
0.2772,1067.2993,211.0912
0.3009,1067.0423,208.6778
0.3018,1066.7111,206.3769
0.3069,1066.5403,204.0946
0.3180,1066.1685,201.7024
0.3269,1065.6826,199.3493
0.3372,1065.3173,196.9698
0.3469,1065.0355,194.5406
0.3642,1064.6611,192.1675
0.3668,1064.3937,189.8564
0.3772,1064.0219,187.4373
0.3954,1063.6818,184.9875
0.3970,1063.4891,182.5782
0.4069,1063.2161,180.0973
0.4287,1062.8251,177.5999
0.4305,1062.5189,175.1051
0.4371,1062.1208,172.6121
0.4630,1061.6432,170.1419
0.4639,1061.3001,167.7551
0.4670,1060.9926,165.4252
0.4770,1060.5598,163.0418
0.4941,1060.1948,160.6737
0.4971,1059.7869,158.2993
0.5070,1059.3622,155.9167
0.5255,1059.1522,153.6210
0.5267,1058.7657,151.2845
0.5371,1058.1548,148.8312
0.5566,1057.7821,146.4714
0.5575,1057.4521,144.1727
0.5669,1057.0421,141.8477
0.5883,1056.4673,139.5420
0.5890,1056.0019,137.1757
0.5971,1055.5955,134.7683
0.6192,1054.9862,132.4163
0.6200,1054.2656,129.9640
0.6269,1053.7052,127.5126
0.6506,1053.1202,125.1715
0.6514,1052.4107,122.7674
0.6571,1051.8759,120.3276
0.6819,1051.2966,117.9582
0.6828,1050.7567,115.5845
0.6869,1050.1836,113.1625
0.6972,1049.3984,110.7318
0.7128,1048.8556,108.3514
0.7171,1048.5125,105.9958
0.7269,1047.7954,103.6702
0.7371,1047.0472,101.3269
0.7469,1046.5042,98.9217
0.7710,1045.8753,96.5226
0.7718,1045.2451,94.1615
0.7771,1044.5397,91.7092
0.8020,1043.7332,89.1844
0.8030,1043.0494,86.7817
0.8069,1042.5031,84.3422
0.8171,1041.7281,81.9194
0.8424,1040.9442,79.6537
0.8433,1040.4354,77.4511
0.8469,1039.7351,75.2044
0.8572,1038.8602,72.9435
0.8743,1038.0693,70.6148
0.8771,1037.3051,68.2734
0.8870,1036.5968,65.9294
0.9052,1035.8610,63.5347
0.9067,1035.0710,61.0997
0.9188,1034.4324,58.7499
0.9362,1033.7659,56.4034
0.9372,1032.8463,53.9664
0.9470,1032.0086,51.4178
0.9677,1031.3035,49.0600
0.9685,1030.5518,46.6639
0.9771,1029.6239,44.2157
0.9988,1028.7859,41.8045
0.9997,1028.0446,39.4177
1.0069,1027.2790,37.0140
1.0303,1026.4197,34.6134
1.0310,1025.4774,32.2709
1.0373,1024.6070,30.0543
1.0624,1023.8383,27.8159
1.0634,1022.9966,25.5317
1.0670,1021.8734,23.3607
1.0771,1020.9766,21.1743
1.0937,1020.1921,19.0226
1.0973,1019.1969,16.7856
1.1071,1018.3389,14.4997
1.1255,1017.5703,12.2967
1.1275,1016.5456,10.0888
1.1373,1015.5889,7.6812
1.1566,1014.6871,5.3224
1.1576,1013.6797,3.0569
1.1670,1012.7733,0.7024
1.1879,1011.8723,-1.5999
1.1887,1010.6708,-3.7612
1.1972,1009.7656,-5.9468
1.2192,1008.8990,-8.0681
1.2202,1007.7034,-10.2063
1.2270,1006.7046,-12.3805
1.2505,1005.9089,-14.5100
1.2513,1004.7736,-16.5652
1.2571,1003.7953,-18.6515
1.2961,1000.6001,-24.8820
1.2971,999.6877,-27.0687
1.3071,998.6631,-29.1929
1.3279,997.6163,-31.2032
1.3288,996.6944,-33.2533
1.3373,995.7297,-35.3692
1.3588,994.6359,-37.3960
1.3598,993.5799,-39.4303
1.3668,992.5161,-41.4944
1.3901,991.3948,-43.6265
1.3909,990.1070,-45.8050
1.3971,988.8806,-47.9725
1.4200,987.8021,-50.1258
1.4209,986.7535,-52.2744
1.4270,985.7648,-54.3143
1.4373,984.8357,-56.3314
1.4469,983.7450,-58.3864
1.4571,982.5152,-60.4377
1.4670,981.4728,-62.4748
1.4772,980.4862,-64.5357
1.4997,979.3363,-66.5663
1.5007,978.2503,-68.5280
1.5071,977.1363,-70.5726
1.5313,975.9778,-72.6568
1.5321,974.8256,-74.6593
1.5372,973.6613,-76.6951
1.5624,972.4600,-78.9314
1.5634,971.2323,-81.0178
1.5670,970.0675,-83.0648
1.5772,969.0742,-85.2273
1.5938,967.7741,-87.3226
1.5972,966.3130,-89.3753
1.6070,965.1510,-91.5698
1.6253,963.9814,-93.6580
1.6268,962.6570,-95.6435
1.6372,961.5064,-97.6571
1.6469,960.4229,-99.6286
