time[s], wr_x[mm], wr_y[mm] 
0.0003,-522.7178,162.1899
0.0262,-522.7212,162.1813
0.0283,-522.7158,162.1946
0.0356,-522.6750,162.0801
0.0458,-522.5376,161.5583
0.0557,-522.4268,160.6104
0.0658,-522.2690,159.3276
0.0756,-522.1845,157.6414
0.0957,-522.1240,155.7775
0.0964,-521.9306,153.8627
0.1059,-521.7708,151.8950
0.1268,-521.6561,149.9619
0.1277,-521.7028,148.0080
0.1355,-521.6481,145.9100
0.1586,-521.5578,143.6998
0.1594,-521.5403,141.4367
0.1660,-521.4361,139.2317
0.1895,-521.2966,137.0258
0.1904,-521.1893,134.6605
0.1957,-521.0829,132.2585
0.2254,-520.7416,127.7398
0.2260,-520.7993,125.4222
0.2365,-520.7659,123.1394
0.2563,-520.6639,120.9544
0.2572,-520.7281,118.6428
0.2674,-520.6442,116.2200
0.2875,-520.4713,113.9282
0.2882,-520.4926,111.6519
0.2959,-520.4301,109.3256
0.3186,-520.1945,106.9599
0.3195,-520.0652,104.4958
0.3257,-519.8690,102.0402
0.3502,-519.4964,99.6938
0.3509,-519.3213,97.2827
0.3559,-519.1725,94.7970
0.3830,-518.8920,92.4162
0.3839,-518.7953,90.0778
0.3858,-518.6810,87.7027
0.3959,-518.3736,85.3485
0.4141,-518.1353,82.9498
0.4157,-517.9125,80.4968
0.4257,-517.6107,78.1408
0.4471,-517.3828,75.9022
0.4479,-517.2831,73.6826
0.4560,-516.9088,71.4306
0.4658,-516.4023,69.0840
0.4758,-516.1164,66.7061
0.4857,-515.8010,64.4005
0.4959,-515.4502,62.0372
0.5056,-515.1967,59.6030
0.5228,-514.8785,57.1751
0.5257,-514.5190,54.8228
0.5358,-514.2155,52.4409
0.5544,-513.8669,50.0091
0.5556,-513.4582,47.6128
0.5657,-513.0695,45.2082
0.5859,-512.6516,42.8187
0.5865,-512.1606,40.3711
0.5959,-511.7902,37.9519
0.6066,-511.4584,35.5754
0.6159,-511.0311,33.2075
0.6258,-510.5038,30.7240
0.6486,-510.1066,28.2464
0.6494,-509.7378,25.8105
0.6559,-509.1311,23.3672
0.6795,-508.6333,20.9227
0.6804,-508.2983,18.4850
0.6857,-507.6317,16.0156
0.7110,-507.2174,13.4836
0.7117,-506.6863,10.9465
0.7158,-506.1093,8.4261
0.7405,-505.6879,5.9148
0.7414,-505.2052,3.3895
0.7456,-504.5908,0.8618
0.7559,-504.0201,-1.6193
0.7724,-503.5484,-4.0946
0.7761,-502.8603,-6.5414
0.7858,-502.0992,-8.7989
0.8031,-501.8553,-11.3166
0.8056,-501.2355,-13.7051
0.8158,-499.9987,-15.9438
0.8346,-499.6999,-18.3582
0.8358,-499.5628,-20.8252
0.8457,-498.6190,-23.1001
0.8660,-497.7484,-25.3112
0.8667,-497.4593,-27.7661
0.8758,-496.6258,-30.1488
0.8977,-495.8910,-32.5105
0.8987,-495.5328,-34.9845
0.9057,-494.7681,-37.3444
0.9292,-494.1783,-39.6887
0.9299,-493.6237,-42.1785
0.9359,-492.7157,-44.5833
0.9602,-492.0507,-47.0149
0.9612,-491.5733,-49.5292
0.9657,-490.7757,-51.8764
0.9761,-490.1313,-54.1555
0.9857,-489.6763,-56.5590
0.9959,-488.8237,-58.8757
1.0057,-488.0385,-61.2160
1.0158,-487.6648,-63.7133
1.0257,-486.9192,-66.0320
1.0358,-486.0602,-68.3769
1.0456,-485.2997,-70.9099
1.0709,-484.3761,-73.3994
1.0716,-483.5426,-75.8893
1.0758,-482.7249,-78.4046
1.0857,-481.8642,-80.8011
1.1025,-481.0488,-83.2865
1.1056,-480.1331,-85.7826
1.1158,-479.1837,-88.3160
1.1337,-478.2491,-90.8551
1.1358,-477.4245,-93.3507
1.1456,-476.6583,-95.8041
1.1653,-475.9080,-98.1954
1.1659,-475.0092,-100.4116
1.1758,-474.2745,-102.6475
1.1962,-473.4136,-104.9089
1.1971,-472.4563,-107.0817
1.2057,-471.7488,-109.2995
1.2278,-471.0093,-111.5627
1.2285,-469.9333,-113.8185
1.2358,-469.1828,-116.1106
1.2580,-468.4780,-118.4920
1.2589,-467.3141,-120.8279
1.2656,-466.3349,-123.2016
1.2758,-465.6343,-125.6234
1.2856,-464.5655,-127.9122
1.3035,-463.3628,-130.1776
1.3056,-462.6026,-132.6189
1.3159,-461.6172,-135.0330
1.3334,-460.3830,-137.3834
1.3357,-459.6513,-139.7466
1.3457,-458.8786,-142.0250
1.3698,-457.6744,-144.2483
1.3705,-456.7693,-146.5583
1.3758,-455.9859,-148.8675
1.4007,-454.8540,-151.0539
1.4016,-453.8377,-153.3412
1.4055,-453.1214,-155.7633
1.4158,-452.2038,-158.1144
1.4256,-451.1989,-160.3846
1.4358,-450.4618,-162.7039
1.4539,-449.4563,-164.9852
1.4612,-448.3485,-167.1872
1.4771,-447.4067,-169.4525
1.4781,-446.3775,-171.6689
1.4856,-445.2644,-173.8294
1.5086,-444.3707,-176.1106
1.5093,-443.4045,-178.4051
1.5158,-442.2090,-180.6122
1.5400,-441.3063,-182.8669
1.5409,-440.4080,-185.0758
1.5456,-439.3245,-187.1643
1.5713,-438.4487,-189.3818
1.5721,-437.5212,-191.5987
1.5758,-436.4037,-193.6588
1.5857,-435.4094,-195.8370
1.6027,-434.2922,-198.0942
1.6058,-433.2553,-200.1534
1.6158,-432.2741,-202.2364
1.6339,-431.3441,-204.3635
1.6357,-430.2205,-206.4591
1.6457,-429.1266,-208.6810
1.6652,-428.0733,-210.8923
1.6659,-426.9345,-213.0542
1.6758,-425.8005,-215.3064
1.6963,-424.6990,-217.5436
1.6973,-423.5356,-219.6112
1.7056,-422.5258,-221.7722
1.7279,-421.4348,-224.0643
1.7285,-420.2849,-226.2210
1.7358,-419.1628,-228.3995
1.7589,-417.9725,-230.6320
1.7599,-416.8520,-232.9116
1.7656,-415.6744,-235.2184
1.7895,-414.4880,-237.4760
1.7902,-413.3902,-239.6564
1.7958,-412.2362,-241.9024
1.8058,-410.9584,-244.1652
1.8158,-409.6492,-246.3330
1.8348,-408.4004,-248.6335
1.8357,-407.0994,-251.0392
1.8456,-405.7234,-253.2222
1.8658,-404.4877,-255.4547
1.8668,-403.2082,-257.7001
1.8759,-401.9972,-259.8092
1.8856,-400.7404,-261.9208
1.8960,-399.4829,-264.1368
1.9057,-398.0790,-266.2577
1.9158,-396.7199,-268.4061
