time[s], wr_x[mm], wr_y[mm] 
0.0003,-1135.8571,1112.1245
0.0254,-1135.8334,1112.1113
0.0276,-1135.8560,1112.1158
0.0516,-1135.7917,1112.0856
0.0526,-1135.8003,1111.8926
0.0561,-1135.8118,1111.3460
0.0664,-1135.8742,1110.5333
0.0829,-1136.0064,1109.5678
0.0864,-1136.1929,1108.6206
0.0962,-1136.1659,1107.6527
0.1144,-1136.1644,1106.5586
0.1160,-1136.3026,1105.2985
0.1265,-1136.3842,1103.9245
0.1456,-1136.5060,1102.5132
0.1466,-1136.5965,1100.9548
0.1561,-1136.5643,1099.1725
0.1798,-1136.5395,1097.2854
0.1806,-1136.6060,1095.4069
0.1863,-1136.6803,1093.5959
0.2074,-1136.7926,1091.7992
0.2089,-1136.9923,1090.0805
0.2162,-1137.1373,1088.2614
0.2397,-1137.2692,1086.3444
0.2405,-1137.1860,1084.3421
0.2463,-1137.1848,1082.3171
0.2701,-1137.3078,1080.2621
0.2710,-1137.1489,1078.4124
0.2762,-1137.0471,1076.5419
0.3013,-1137.0625,1074.5254
0.3031,-1137.0056,1072.4169
0.3063,-1136.8278,1070.1701
0.3162,-1136.7271,1067.9671
0.3264,-1136.7862,1065.8408
0.3470,-1136.6381,1063.8248
0.3480,-1136.5042,1061.8078
0.3561,-1136.4688,1059.6762
0.3821,-1136.1194,1057.6768
0.3828,-1135.8848,1055.6692
0.3863,-1135.8019,1053.6303
0.3963,-1135.3978,1051.6688
0.4064,-1135.0751,1049.6277
0.4287,-1134.8292,1047.4417
0.4298,-1134.4291,1045.3286
0.4361,-1134.2013,1043.3205
0.4599,-1134.0317,1041.3436
0.4606,-1133.7642,1039.3767
0.4664,-1133.3660,1037.4165
0.4916,-1132.9603,1035.2248
0.4925,-1132.7264,1033.1785
0.4962,-1132.5516,1031.2780
0.5063,-1132.2444,1029.3699
0.5235,-1131.8257,1027.3740
0.5263,-1131.4069,1025.3760
0.5362,-1130.9018,1023.5723
0.5550,-1130.6250,1021.7208
0.5560,-1130.4012,1019.8904
0.5664,-1129.8511,1018.1502
0.5857,-1129.3575,1016.1857
0.5866,-1128.7766,1014.1110
0.5961,-1127.9203,1012.1839
0.6174,-1127.4070,1010.1455
0.6181,-1126.9050,1008.2017
0.6263,-1126.1956,1006.4120
0.6362,-1125.7657,1004.4601
0.6463,-1125.1162,1002.4462
0.6641,-1124.2088,1000.5175
0.6662,-1123.4271,998.5233
0.6761,-1122.7932,996.5434
0.6938,-1121.9766,994.7982
0.6960,-1121.3707,993.0147
0.7063,-1120.6523,991.0801
0.7242,-1119.5552,989.2735
0.7262,-1118.7534,987.3719
0.7362,-1118.0975,985.3875
0.7463,-1117.1188,983.6078
0.7726,-1116.3079,981.8847
0.7736,-1115.5649,980.0876
0.7760,-1114.6540,978.2820
0.7863,-1113.8082,976.5962
0.8030,-1113.0012,974.8556
0.8063,-1112.1354,973.0573
0.8160,-1111.1152,971.3538
0.8364,-1110.1433,969.6086
0.8370,-1109.2267,967.7818
0.8463,-1108.3333,966.1064
0.8679,-1107.4222,964.5475
0.8687,-1106.6371,962.8231
0.8762,-1105.7308,961.1084
0.8994,-1104.5553,959.5559
0.9000,-1103.5572,957.8318
0.9063,-1102.5568,956.1142
0.9306,-1101.4793,954.6053
0.9315,-1100.5870,952.9994
0.9360,-1099.5278,951.4156
0.9464,-1098.3761,949.8204
0.9562,-1097.1572,948.1667
0.9664,-1095.8312,946.5188
0.9761,-1094.5514,944.8712
0.9940,-1093.4277,943.2443
0.9961,-1092.4037,941.5837
1.0064,-1091.2458,939.9677
1.0250,-1090.0027,938.4031
1.0261,-1088.7075,936.7560
1.0362,-1087.4110,935.1612
1.0566,-1086.1833,933.5496
1.0573,-1084.8253,931.9087
1.0663,-1083.6041,930.4687
1.0879,-1082.1717,928.8792
1.0888,-1080.6118,927.3071
1.0961,-1079.1825,925.6966
1.1190,-1077.9132,924.0380
1.1196,-1076.4704,922.5860
1.1263,-1075.0283,921.1513
1.1500,-1073.5796,919.6071
1.1509,-1071.9153,918.2502
1.1562,-1070.3489,916.8564
1.1822,-1068.9717,915.3281
1.1828,-1067.3846,914.0632
1.1864,-1065.8242,912.6732
1.1962,-1064.2578,911.2090
1.2133,-1062.6198,909.9852
1.2161,-1061.1378,908.5550
1.2263,-1059.6538,907.0972
1.2443,-1058.0425,905.9106
1.2463,-1056.4289,904.5793
1.2561,-1054.8023,903.1388
1.2803,-1053.1859,901.9693
1.2811,-1051.6827,900.6425
1.2864,-1050.2060,899.2297
1.3050,-1048.6012,898.1541
1.3061,-1046.9363,896.9932
1.3162,-1045.2633,895.6513
1.3364,-1043.5163,894.6271
1.3371,-1041.8793,893.4746
1.3464,-1040.2311,892.1378
1.3676,-1038.4135,891.1996
1.3685,-1036.7271,890.1504
1.3761,-1035.0986,888.7066
1.3993,-1033.4050,887.6202
1.4000,-1031.8123,886.7133
1.4063,-1030.2681,885.4127
1.4462,-1024.8600,882.3307
1.4471,-1023.1804,881.1755
1.4563,-1021.5171,880.3508
1.4773,-1019.8321,879.3035
1.4780,-1018.0482,878.2576
1.4864,-1016.2268,877.3948
1.5089,-1014.4598,876.3185
1.5099,-1012.6237,875.2926
1.5162,-1010.6569,874.4810
1.5408,-1008.6906,873.4893
1.5415,-1006.6376,872.5437
1.5470,-1004.6674,871.8059
1.5715,-1002.9131,870.7307
1.5724,-1001.1026,869.7906
1.5761,-999.2501,869.1672
1.5864,-997.4390,868.3019
1.6028,-995.5782,867.3880
1.6064,-993.7948,866.8030
1.6162,-992.1740,866.1609
1.6331,-990.5594,865.3722
1.6360,-988.7282,864.6626
1.6464,-986.6620,863.8687
1.6561,-984.4524,863.0179
1.6663,-982.2650,862.2280
1.6761,-980.2477,861.3633
1.7110,-976.3357,860.1415
1.7117,-974.2583,859.5276
1.7164,-972.1947,858.9046
1.7265,-970.1082,858.3128
1.7363,-968.0964,857.6309
1.7462,-966.0874,857.0468
1.7563,-964.0430,856.5032
1.7729,-961.9248,855.9312
1.7763,-959.9245,855.3377
1.7861,-957.9899,854.7787
1.8052,-955.9545,854.2701
1.8060,-953.9338,853.7575
1.8163,-951.8241,853.3464
1.8365,-949.6253,852.8619
1.8375,-947.4742,852.3302
1.8462,-945.4403,851.8861
1.8563,-943.3158,851.4204
1.8661,-941.2490,851.0807
1.8763,-939.2354,850.7313
1.8990,-937.1806,850.2990
1.8999,-935.1252,850.0143
1.9061,-933.2026,849.6582
1.9305,-931.1355,849.2627
1.9312,-929.0294,849.0920
1.9363,-926.9704,848.8639
1.9621,-924.9764,848.4187
1.9631,-923.0279,847.9514
1.9661,-921.1424,847.7648
1.9763,-919.1406,847.4598
1.9936,-917.0460,847.2198
1.9963,-915.0438,847.1969
2.0061,-913.1161,846.9653
2.0241,-911.0931,846.7191
2.0261,-909.1720,846.8238
2.0364,-907.2078,846.7016
2.0545,-905.0538,846.5392
2.0567,-902.9489,846.7910
2.0661,-900.8613,846.7530
2.0863,-898.6840,846.5651
2.0871,-896.6074,846.8203
2.0963,-894.6136,846.8705
2.1173,-892.5239,846.6917
2.1182,-890.3383,846.8922
2.1262,-888.2555,846.9853
2.1525,-886.1235,846.7712
2.1533,-884.0199,846.9527
2.1564,-882.0448,847.1601
2.1661,-880.0227,847.1368
2.1851,-878.0053,847.4550
2.1860,-876.0862,847.6376
2.1963,-874.1364,847.5174
2.2159,-872.2110,847.8561
2.2168,-870.3324,848.2499
2.2262,-868.3712,848.4520
2.2363,-866.2581,848.9232
2.2462,-864.3420,849.2851
2.2634,-862.4264,849.4329
2.2662,-860.4180,849.7444
2.2764,-858.3383,850.1465
2.2944,-856.2348,850.5963
2.2967,-854.1941,850.9443
2.3061,-852.2842,851.2267
2.3249,-850.5041,851.4180
2.3260,-848.7023,851.6396
2.3364,-846.6963,851.9800
2.3463,-844.7292,852.5480
2.3665,-842.6678,853.0811
2.3671,-840.5808,853.5936
2.3763,-838.6437,854.2552
2.3977,-836.7316,854.6719
