time[s], wr_x[mm], wr_y[mm] 
0.0001,-1490.9151,32.0271
0.0185,-1490.8871,31.9966
0.0199,-1490.8953,31.9962
0.0284,-1491.0367,32.0892
0.0389,-1490.9030,32.0366
0.0506,-1490.5839,31.9378
0.0577,-1490.1109,31.8985
0.0680,-1488.9210,31.7875
0.0782,-1487.0490,31.7321
0.0878,-1484.8745,31.8257
0.0979,-1482.3089,31.9256
0.1076,-1477.4223,31.5584
0.1178,-1474.8650,31.6807
0.1275,-1472.4092,31.7643
0.1378,-1469.9686,31.8189
0.1476,-1467.5243,31.6682
0.1578,-1464.9766,31.5846
0.1678,-1462.2402,31.5193
0.1787,-1459.2471,31.4159
0.1876,-1456.4065,31.4939
0.1984,-1453.4431,31.4705
0.2075,-1450.5435,31.3232
0.2188,-1447.6888,31.2681
0.2275,-1444.7623,31.2963
0.2394,-1441.8146,31.2977
0.2475,-1438.9007,31.2466
0.2584,-1435.9036,31.2272
0.2676,-1432.8391,31.0540
0.2784,-1429.7250,31.0823
0.2875,-1426.5392,31.0872
0.2983,-1423.3829,30.8814
0.3077,-1420.2414,30.8935
0.3177,-1417.1252,30.8513
0.3275,-1414.0352,30.7045
0.3380,-1411.0522,30.7540
0.3477,-1408.0274,30.7731
0.3577,-1404.8996,30.7706
0.3685,-1401.8800,30.7155
0.3777,-1398.8633,30.5660
0.3877,-1395.8483,30.4752
0.3981,-1392.7131,30.5366
0.4076,-1389.5735,30.3663
0.4180,-1386.3978,30.3101
0.4277,-1383.1996,30.3139
0.4380,-1380.0746,30.2715
0.4484,-1376.8724,30.3997
0.4586,-1373.6235,30.4216
0.4678,-1370.5185,30.4250
0.4779,-1367.4382,30.5371
0.4877,-1364.1809,30.5005
0.4979,-1360.9302,30.3170
0.5077,-1357.6905,30.3590
0.5182,-1354.4935,30.2257
0.5279,-1351.3287,30.0894
0.5387,-1348.1342,30.0793
0.5479,-1344.9710,29.9314
0.5577,-1341.8364,29.8910
0.5675,-1338.7657,29.9098
0.5779,-1335.6927,29.8090
0.5879,-1332.5221,29.7778
0.5979,-1329.3244,29.6986
0.6089,-1326.2234,29.6104
0.6181,-1322.9620,29.5954
0.6276,-1319.8462,29.5505
0.6378,-1316.8445,29.5148
0.6476,-1313.7607,29.5881
0.6578,-1310.6391,29.5232
0.6677,-1307.5984,29.5177
0.6778,-1304.4683,29.5368
0.6886,-1301.3898,29.3990
0.6978,-1298.3190,29.4095
0.7076,-1295.1285,29.3523
0.7179,-1291.9144,29.1604
0.7288,-1288.7355,29.2614
0.7380,-1285.4970,29.3085
0.7476,-1282.2843,29.1247
0.7579,-1279.1261,29.2011
0.7678,-1276.0786,29.1711
0.7780,-1272.9178,29.1074
0.7877,-1269.6596,29.1297
0.7980,-1266.4528,29.0175
0.8078,-1263.1984,29.0805
0.8179,-1259.9584,28.9585
0.8275,-1256.8627,28.8742
0.8379,-1253.6865,28.7860
0.8483,-1250.4414,28.6008
0.8580,-1247.3787,28.5791
0.8693,-1244.3265,28.6020
0.8785,-1241.2864,28.5182
0.8878,-1238.1877,28.5521
0.8986,-1234.9102,28.4257
0.9076,-1231.8060,28.4487
0.9181,-1228.6761,28.4503
0.9279,-1225.3095,28.2301
0.9377,-1222.1942,28.1818
0.9479,-1218.9717,28.0674
0.9577,-1215.9271,27.9954
0.9677,-1212.7822,27.9561
0.9778,-1209.2000,28.0185
0.9886,-1205.9872,27.9719
0.9983,-1202.8926,27.9261
1.0096,-1199.8031,27.8193
1.0177,-1196.9066,27.9102
1.0296,-1193.9772,27.7231
1.0378,-1190.8294,27.5534
1.0477,-1187.8652,27.6304
1.0577,-1184.7368,27.5046
1.0681,-1181.5100,27.3857
1.0778,-1178.3868,27.3747
1.0876,-1175.1655,27.2333
1.1000,-1171.9606,27.2473
1.1081,-1168.7798,27.4181
1.1186,-1165.4958,27.3992
1.1277,-1162.3144,27.4238
1.1383,-1159.1761,27.5384
1.1475,-1155.9238,27.5199
1.1577,-1152.7104,27.4567
1.1681,-1149.4816,27.3681
1.1779,-1146.3171,27.3289
1.1877,-1143.2201,27.2099
1.1981,-1140.0540,27.1425
1.2077,-1136.9070,27.1266
1.2200,-1133.8488,27.0367
1.2277,-1130.6959,26.9896
1.2379,-1127.6049,27.0075
1.2488,-1124.4647,26.9049
1.2579,-1121.2536,26.7822
1.2677,-1118.1537,26.7946
1.2780,-1115.0040,26.7909
1.2883,-1111.7818,26.7448
1.2978,-1108.6539,26.7211
1.3083,-1105.5610,26.7503
1.3185,-1102.4572,26.8285
1.3275,-1099.3806,26.8122
1.3396,-1096.2807,26.7518
1.3476,-1093.2385,26.7687
1.3579,-1090.0985,26.6532
1.3683,-1086.8357,26.5270
1.3779,-1083.6923,26.5687
1.3879,-1080.5121,26.6609
1.3998,-1077.2096,26.6298
1.4076,-1074.0754,26.5108
1.4179,-1070.9156,26.5200
1.4280,-1067.8593,26.6965
1.4378,-1064.8365,26.6571
1.4480,-1061.5366,26.4911
1.4578,-1058.2698,26.4632
1.4679,-1055.0914,26.5237
1.4782,-1051.8873,26.4789
1.4879,-1048.7896,26.4576
1.4997,-1045.6655,26.2904
1.5076,-1042.4793,26.2046
1.5198,-1039.3801,26.2012
1.5276,-1036.1613,26.0966
1.5378,-1033.0494,26.1423
1.5476,-1029.9912,26.0855
1.5578,-1026.7654,26.0064
1.5676,-1023.6645,26.1498
1.5797,-1020.7154,26.0868
1.5891,-1017.4129,25.9475
1.5978,-1014.2108,25.9362
1.6121,-1011.0139,25.7214
1.6177,-1007.8432,25.7324
1.6280,-1004.7033,25.7814
1.6383,-1001.4117,25.6039
1.6475,-998.1825,25.6343
1.6577,-995.1629,25.5370
1.6675,-992.0182,25.3929
1.6784,-988.9969,25.4601
1.6877,-986.0212,25.3388
1.6977,-982.8992,25.2579
1.7093,-979.8553,25.2167
1.7177,-976.7958,25.0159
1.7276,-973.6023,24.9877
1.7396,-970.4698,24.9423
1.7494,-967.2604,24.7727
1.7597,-964.0493,24.8753
1.7694,-960.8797,25.0807
1.7786,-957.5990,25.0468
1.7885,-954.3783,25.1233
1.7977,-951.1611,25.1491
1.8094,-947.8890,25.0544
1.8179,-944.6740,25.0797
1.8281,-941.4764,24.9499
1.8382,-938.2171,24.8771
1.8475,-935.0485,24.8386
1.8582,-931.9267,24.7236
1.8676,-928.7714,24.7948
1.8778,-925.6041,24.7140
1.8880,-922.4903,24.6034
1.8981,-919.2932,24.6325
1.9077,-916.0924,24.4997
1.9177,-912.8117,24.4048
1.9275,-909.5411,24.4294
1.9383,-906.2834,24.3811
1.9490,-903.0323,24.3976
1.9578,-899.9097,24.3742
1.9692,-896.7122,24.2883
1.9777,-893.5466,24.3854
1.9875,-890.4454,24.4083
1.9978,-887.2250,24.3512
2.0082,-884.0751,24.4627
2.0195,-880.9286,24.3852
2.0276,-877.6098,24.2725
2.0384,-874.3924,24.3360
2.0475,-871.1820,24.3686
2.0581,-867.8261,24.2495
2.0675,-864.5627,24.2243
2.0789,-861.4456,24.1889
2.0877,-858.3231,24.4410
2.0979,-855.1616,24.4913
2.1077,-851.7932,24.3286
2.1189,-848.5305,24.3857
2.1277,-845.3762,24.2430
2.1378,-842.1583,24.1883
2.1476,-839.0049,24.2718
2.1586,-835.7812,24.0291
2.1676,-832.5026,23.9961
2.1785,-829.4104,24.0139
2.1883,-826.2491,23.8971
2.1978,-823.0431,23.9936
2.2076,-819.8875,23.9723
2.2186,-816.6280,23.9114
2.2286,-813.4494,24.0167
2.2387,-810.2547,23.9096
2.2483,-806.9725,23.8745
2.2577,-803.8443,23.8436
2.2685,-800.6853,23.6076
2.2778,-797.4664,23.6634
2.2879,-794.2718,23.5732
2.2981,-790.9941,23.4624
2.3080,-787.7892,23.5689
2.3181,-784.7078,23.3106
2.3283,-781.6936,23.3833
2.3381,-778.7257,23.4503
2.3477,-775.6957,23.1316
2.3581,-772.5533,23.0807
2.3679,-769.4927,23.0426
2.3778,-766.4010,22.8267
2.3878,-763.2353,22.9345
2.3998,-760.1675,22.8051
2.4096,-757.0508,22.6953
2.4187,-753.9358,22.8690
2.4300,-750.8323,22.9069
2.4397,-747.5678,22.9804
2.4475,-744.3321,23.0051
2.4577,-741.1095,22.8994
2.4685,-737.8788,23.0629
2.4793,-734.7385,22.9168
2.4875,-731.5978,22.7917
2.4992,-728.4545,22.8935
2.5091,-725.4066,22.6247
2.5177,-722.2379,22.5801
2.5275,-719.0999,22.6284
2.5377,-716.0115,22.3999
2.5476,-712.7986,22.4811
