time[s], wr_x[mm], wr_y[mm] 
0.0002,-1396.1865,-654.0844
0.0229,-1396.1495,-654.1163
0.0248,-1396.1744,-654.1102
0.0252,-1396.1035,-654.1443
0.0335,-1395.9802,-654.1115
0.0437,-1395.6654,-654.1512
0.0536,-1394.9990,-654.3010
0.0638,-1393.6813,-654.4333
0.0737,-1391.8971,-654.5028
0.0839,-1389.7808,-654.5231
0.0937,-1387.5115,-654.4036
0.1148,-1385.1782,-654.2066
0.1154,-1382.8626,-654.2606
0.1238,-1380.4391,-654.4651
0.1460,-1377.3958,-653.8823
0.1468,-1375.0567,-653.7082
0.1537,-1372.3320,-653.6462
0.1771,-1369.5176,-653.6654
0.1778,-1366.8047,-653.5422
0.1838,-1363.9841,-653.3909
0.2082,-1361.0134,-653.4190
0.2087,-1358.2272,-653.4549
0.2137,-1355.4493,-653.4264
0.2238,-1352.5145,-653.4206
0.2334,-1349.6552,-653.4344
0.2438,-1346.7474,-653.2752
0.2644,-1343.8007,-653.3137
0.2654,-1340.9188,-653.3703
0.2737,-1338.0162,-653.2100
0.2963,-1335.1747,-653.2021
0.2969,-1332.3559,-653.1762
0.3038,-1329.4443,-652.9222
0.3272,-1326.4397,-652.8007
0.3280,-1323.4013,-652.7790
0.3336,-1320.3864,-652.5814
0.3587,-1317.4073,-652.4991
0.3594,-1314.5214,-652.4203
0.3639,-1311.5511,-652.2031
0.3737,-1308.4908,-652.1370
0.3904,-1305.4969,-652.0652
0.3936,-1302.4231,-651.8607
0.4038,-1299.4786,-651.9185
0.4215,-1296.5390,-651.9416
0.4238,-1293.1978,-651.6886
0.4336,-1290.3576,-651.7367
0.4556,-1287.5175,-651.7693
0.4563,-1284.7433,-651.5103
0.4640,-1281.8978,-651.4020
0.4734,-1279.0186,-651.3801
0.4839,-1276.0737,-651.1085
0.4937,-1273.0950,-650.9375
0.5196,-1270.0447,-650.8266
0.5203,-1267.0426,-650.6057
0.5238,-1264.0546,-650.4851
0.5336,-1260.9438,-650.3614
0.5509,-1257.8937,-650.0716
0.5537,-1254.8990,-649.9842
0.5638,-1251.9183,-649.9058
0.5809,-1248.8882,-649.6568
0.5838,-1245.9203,-649.5976
0.5937,-1242.9034,-649.5359
0.6180,-1239.9492,-649.2992
0.6186,-1237.0660,-649.2514
0.6239,-1234.1230,-649.1111
0.6492,-1231.2839,-648.8943
0.6502,-1228.4106,-648.9211
0.6536,-1225.4584,-648.7282
0.6639,-1222.5826,-648.4995
0.6803,-1219.5864,-648.4037
0.6838,-1216.5765,-648.2215
0.6936,-1213.6382,-647.9820
0.7118,-1210.6038,-647.9353
0.7134,-1207.5504,-647.7684
0.7239,-1204.6746,-647.5317
0.7415,-1201.5761,-647.3783
0.7438,-1198.5501,-647.1882
0.7536,-1195.6353,-646.9829
0.7644,-1192.6736,-646.8923
0.7736,-1189.7706,-646.7430
0.7839,-1186.9263,-646.4600
0.7952,-1184.0390,-646.3298
0.8040,-1181.0936,-646.1915
0.8138,-1177.2660,-645.2622
0.8239,-1174.3385,-645.1786
0.8336,-1171.4628,-644.9348
0.8439,-1168.5262,-644.6219
0.8536,-1165.5450,-644.4175
0.8639,-1162.5681,-644.2115
0.8734,-1159.5722,-643.8624
0.8838,-1156.5395,-643.6499
0.8937,-1153.5414,-643.4662
0.9039,-1150.5777,-643.0915
0.9137,-1147.6150,-642.9321
0.9239,-1144.6534,-642.8419
0.9337,-1141.6393,-642.4980
0.9439,-1138.7090,-642.3513
0.9537,-1135.7977,-642.1653
0.9640,-1132.8237,-641.7667
0.9737,-1129.8742,-641.5302
0.9979,-1126.9217,-641.2708
0.9986,-1123.8812,-640.9974
1.0039,-1120.9802,-640.8052
1.0289,-1118.0938,-640.4772
1.0299,-1115.1368,-640.0319
1.0336,-1112.1790,-639.7871
1.0439,-1109.2172,-639.5216
1.0602,-1106.3534,-639.1199
1.0639,-1103.5774,-638.9506
1.0737,-1100.6606,-638.5665
1.0915,-1097.6992,-638.0787
1.0936,-1094.7077,-637.9638
1.1039,-1091.5546,-637.6719
1.1140,-1088.5234,-637.3167
1.1342,-1085.6010,-637.2794
1.1349,-1082.6476,-636.9079
1.1440,-1079.8091,-636.5389
1.1657,-1077.0435,-636.4917
1.1666,-1074.1906,-636.1638
1.1737,-1071.3997,-635.8369
1.1976,-1068.5865,-635.6667
1.1983,-1065.6470,-635.2411
1.2039,-1062.6800,-634.7807
1.2286,-1059.6286,-634.4273
1.2295,-1056.5964,-633.9820
1.2336,-1053.6207,-633.6052
1.2441,-1050.5376,-633.4408
1.2538,-1047.5122,-633.0578
1.2642,-1044.5942,-632.6933
1.2737,-1041.6320,-632.4645
1.2840,-1038.7071,-632.0694
1.2937,-1035.7777,-631.7328
1.3038,-1032.8165,-631.4093
1.3264,-1029.8751,-631.0923
1.3273,-1026.9611,-630.8199
1.3336,-1024.0576,-630.4628
1.3579,-1021.1287,-630.1307
1.3586,-1018.1957,-629.7813
1.3639,-1015.2982,-629.4395
1.3891,-1012.3499,-629.1075
1.3900,-1009.3022,-628.7238
1.3936,-1006.3216,-628.3093
1.4039,-1003.4055,-627.9952
1.4200,-1000.4447,-627.7014
1.4238,-997.5506,-627.3329
1.4336,-994.6561,-627.0820
1.4439,-991.6473,-626.6843
1.4668,-988.6094,-626.3287
1.4676,-985.6457,-625.9896
1.4736,-982.5639,-625.4569
1.4980,-979.5922,-625.0133
1.4987,-976.5852,-624.6367
1.5038,-973.5292,-624.1962
1.5291,-970.5866,-623.7435
1.5301,-967.6005,-623.2606
1.5336,-964.5987,-622.7977
1.5438,-961.6749,-622.3927
1.5603,-958.7065,-621.9302
1.5639,-955.6842,-621.5546
1.5736,-952.6700,-621.2030
1.5839,-949.6939,-620.6777
1.5935,-946.7007,-620.3386
1.6038,-943.7216,-620.0040
1.6222,-940.7270,-619.3654
1.6236,-937.7230,-618.9741
1.6336,-934.7473,-618.6843
1.6438,-931.8279,-618.1103
1.6691,-928.9074,-617.7114
1.6698,-925.9434,-617.2498
1.6736,-922.8844,-616.7703
1.6838,-919.9167,-616.4168
1.7000,-916.9196,-615.9254
1.7038,-913.9480,-615.3789
1.7136,-911.0359,-615.0660
1.7321,-908.1432,-614.4978
1.7334,-905.2855,-613.8361
1.7438,-902.3837,-613.4086
1.7633,-899.5097,-612.8432
1.7641,-896.5805,-612.3654
1.7736,-893.7110,-611.9479
1.7944,-890.8240,-611.2850
1.7951,-887.7752,-610.7362
1.8038,-884.7180,-610.2837
1.8269,-881.6439,-609.7302
1.8279,-878.6223,-609.3262
1.8336,-875.6930,-609.0244
1.8586,-872.7893,-608.4627
1.8593,-869.9148,-608.0903
1.8641,-867.0349,-607.6707
1.8737,-864.2363,-607.0837
1.8897,-861.2756,-606.6758
1.8936,-858.2537,-606.1112
1.9044,-855.3163,-605.3653
1.9208,-852.2386,-604.8727
1.9238,-849.1125,-604.3752
1.9336,-846.1432,-603.7206
1.9524,-843.1059,-603.1882
1.9534,-840.0604,-602.7015
1.9638,-837.1082,-602.1532
1.9834,-834.1312,-601.6996
1.9843,-831.2250,-601.1069
1.9936,-828.2979,-600.5449
2.0149,-825.2849,-600.0473
2.0157,-822.2676,-599.4407
2.0237,-819.2796,-598.9428
2.0448,-816.2369,-598.4759
2.0456,-813.3397,-597.9127
2.0535,-810.4350,-597.4036
2.0637,-807.4293,-596.7969
2.0736,-804.3873,-596.1993
2.0838,-801.3416,-595.6582
2.0934,-798.3259,-595.0515
2.1037,-795.3881,-594.5249
2.1136,-792.3963,-594.0059
2.1239,-789.3965,-593.4400
2.1335,-786.4945,-592.9619
2.1438,-783.5416,-592.3870
2.1536,-780.4887,-591.7675
2.1851,-774.4910,-590.4877
2.1859,-771.3900,-589.8519
2.1939,-768.4357,-589.1324
2.2163,-765.4535,-588.3436
2.2171,-762.3976,-587.8141
2.2236,-759.4294,-587.0963
2.2476,-756.4619,-586.3259
2.2483,-753.4763,-585.8787
2.2538,-750.5855,-585.2001
2.2788,-747.7084,-584.4854
2.2797,-744.7353,-584.1878
2.2836,-741.8120,-583.5201
2.2938,-738.9661,-582.6959
2.3097,-736.0215,-582.3110
2.3138,-733.1457,-581.5528
2.3236,-730.3263,-580.7021
2.3399,-727.3482,-580.2762
2.3436,-724.3728,-579.5137
2.3538,-721.5134,-578.8739
2.3741,-718.6139,-578.4644
2.3750,-715.8413,-577.5193
2.3836,-713.0334,-576.8518
2.4058,-710.1336,-576.4307
2.4065,-707.3823,-575.4469
2.4138,-704.6257,-574.7984
2.4367,-701.7558,-574.3542
2.4376,-698.9716,-573.4531
2.4436,-696.1367,-572.7397
2.4685,-693.1117,-572.1693
2.4692,-690.2324,-571.3292
2.4738,-687.4307,-570.7325
2.4840,-684.5917,-570.0149
2.4998,-681.8365,-569.0511
2.5047,-678.9553,-568.4473
2.5138,-675.9772,-567.7556
2.5236,-673.2274,-566.9492
2.5338,-670.3358,-566.5849
2.5436,-667.4637,-565.9169
2.5624,-664.6870,-565.1385
2.5634,-661.7614,-564.6865
2.5739,-658.8493,-563.9138
2.5936,-656.1434,-563.1300
2.5945,-653.2840,-562.7168
2.6036,-650.3925,-561.9560
2.6250,-647.6397,-561.1173
2.6257,-644.6928,-560.4987
2.6338,-641.8427,-559.7560
2.6695,-636.1311,-558.2345
2.6706,-633.2773,-557.4744
2.6737,-630.4892,-556.7713
2.6838,-627.6168,-556.1530
2.7011,-624.7934,-555.4286
2.7037,-621.9692,-554.6883
2.7137,-619.0354,-553.9553
2.7237,-616.1982,-553.1364
2.7335,-613.3218,-552.3139
2.7500,-610.3896,-551.6441
2.7535,-607.4923,-550.9592
2.7637,-604.6563,-550.1310
2.7812,-601.7398,-549.3419
2.7837,-598.8465,-548.6271
2.7936,-595.9841,-547.7479
2.8128,-593.0573,-547.0360
2.8135,-590.1415,-546.3477
2.8238,-587.2535,-545.4514
2.8437,-584.3148,-544.6891
2.8446,-581.3260,-543.9703
2.8536,-578.2964,-543.1206
2.8737,-575.2061,-542.2393
2.8745,-572.1450,-541.2441
2.8839,-569.1484,-540.1596
2.9049,-566.0995,-539.3577
2.9058,-563.0629,-538.5442
2.9137,-560.0562,-537.5047
2.9363,-557.0018,-536.7495
2.9370,-553.9885,-535.9112
2.9439,-551.0078,-534.9695
2.9676,-548.0168,-534.4264
2.9685,-545.0429,-533.5192
2.9736,-542.1037,-532.5237
2.9989,-539.1153,-531.9701
2.9997,-536.2230,-530.9951
3.0038,-533.2813,-530.0315
3.0136,-530.3199,-529.3721
3.0306,-527.2755,-528.3889
3.0336,-524.2717,-527.4531
3.0439,-521.2431,-526.6606
3.0619,-518.3519,-525.6322
3.0637,-515.3986,-524.8357
3.0736,-512.4683,-523.9720
3.0935,-509.5741,-522.8732
3.0942,-506.6317,-522.1449
3.1038,-503.6797,-521.2762
3.1242,-500.7605,-520.2308
3.1253,-497.8067,-519.4968
3.1337,-494.8380,-518.5915
3.1559,-491.8423,-517.6376
3.1566,-488.7856,-516.7296
3.1638,-485.8023,-515.7318
3.1737,-482.8649,-514.8671
3.1838,-480.0464,-513.9629
3.2026,-477.1544,-512.8945
3.2036,-474.2027,-511.9375
3.2135,-471.2183,-510.9194
3.2347,-468.3441,-509.9027
3.2353,-465.4182,-509.0595
3.2437,-462.5419,-508.1782
3.2640,-459.6086,-507.2549
3.2650,-456.5892,-506.4796
3.2736,-453.7103,-505.5680
3.2958,-450.8808,-504.7034
3.2964,-447.9519,-503.9273
3.3039,-445.1580,-502.9231
3.3267,-442.3041,-502.1023
3.3275,-439.3922,-501.2189
3.3336,-436.7284,-500.1319
3.3581,-433.9491,-499.2589
3.3589,-431.0712,-498.2902
3.3638,-428.3563,-497.3141
3.3879,-425.5065,-496.5240
3.3889,-422.7959,-495.5745
3.3936,-420.1213,-494.6815
3.4201,-417.2933,-493.8581
3.4208,-414.4847,-492.7763
3.4238,-411.7024,-491.8858
3.4336,-408.8713,-491.0045
3.4512,-406.1237,-490.0116
3.4536,-403.3538,-489.2921
3.4639,-400.5238,-488.3880
3.4827,-397.7728,-487.4064
3.4836,-394.9754,-486.6261
3.4936,-392.1638,-485.5144
3.5144,-389.3240,-484.4615
3.5151,-386.4450,-483.6574
3.5238,-383.6481,-482.5754
3.5453,-380.8912,-481.6459
3.5462,-378.0732,-480.5490
